, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Tocantins - Desemprego,Tocantins - Consumo de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Produção de Cimento (t),Tocantins - IDH
2007-6,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,8.030682014762222,41.066,17034529.97664198,1541589.3040642696,10.567669954730263,27621264.38222436,12.855693877551024,0.7166885874556508
2007-7,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,8.028167317728988,45.45,17051644.319904655,1543176.7859430304,10.572061500044864,27656073.377436697,13.064320283215327,0.7169160582974967
2007-8,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,8.025652620695753,47.715,17068758.66316733,1544764.2678217909,10.576453045359465,27690882.37264904,13.274551309403394,0.7171435291393427
2007-9,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,8.023137923662517,35.123,17085873.006430008,1546351.7497005516,10.580844590674062,27725691.36786138,13.42435847898306,0.7173709999811885
2007-10,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,8.020623226629283,44.051,17102987.349692687,1547939.2315793124,10.58523613598866,27760500.36307372,13.420427019370466,0.7175984708230344
2007-11,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,8.018108529596049,39.677,17120101.692955364,1549526.713458073,10.58962768130326,27795309.358286057,13.40702757078619,0.7178259416648803
2007-12,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,8.015593832562812,27.884,17137216.03621804,1551114.1953368338,10.59401922661786,27830118.3534984,13.38788527631244,0.7180534125067262
2008-1,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,8.013079135529578,33.036,17154330.379480716,1552701.6772155946,10.59841077193246,27864927.348710734,13.638658445216771,0.7182808833485721
2008-2,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,8.015457071210061,29.256,17168117.518383235,1554104.913428596,10.599998125376173,27898305.42406234,13.9710596379763,0.718472089647909
2008-3,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,8.017835006890545,30.511,17181904.657285757,1555508.1496415976,10.601585478819882,27931683.49941395,14.38408126324112,0.7186632959472459
2008-4,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,8.020212942571028,37.629,17195691.796188276,1556911.385854599,10.603172832263592,27965061.57476556,14.803470676776652,0.7188545022465828
2008-5,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,8.022590878251512,36.796,17209478.935090795,1558314.6220676007,10.604760185707304,27998439.65011716,15.409806813037404,0.7190457085459196
2008-6,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,8.024968813931995,36.515,17223266.073993318,1559717.858280602,10.606347539151017,28031817.72546876,15.975170217385108,0.7192369148452565
2008-7,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,8.027346749612477,43.649,17237053.212895837,1561121.0944936038,10.607934892594727,28065195.80082037,16.690541038148066,0.7194281211445934
2008-8,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,8.02972468529296,45.329,17250840.351798356,1562524.3307066052,10.609522246038438,28098573.876171976,17.483082691987825,0.7196193274439303
2008-9,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,8.032102620973443,39.84,17264627.49070088,1563927.5669196066,10.61110959948215,28131951.95152358,18.19481907345696,0.7198105337432672
2008-10,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,8.034480556653927,45.95,17278414.629603397,1565330.8031326083,10.612696952925862,28165330.026875183,18.964203136180576,0.7200017400426041
2008-11,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,8.03685849233441,37.101,17292201.768505916,1566734.0393456095,10.614284306369573,28198708.10222679,19.802676669572016,0.720192946341941
2008-12,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,8.039236428014894,35.133,17305988.90740844,1568137.2755586114,10.615871659813283,28232086.1775784,20.67685374446124,0.7203841526412779
2009-1,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,8.041614363695377,36.028,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293,21.438156882103307,0.7205753589406148
2009-2,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,8.038651400108629,31.811,17362119.352211755,1559051.8340935456,10.617460128807352,28081290.30015672,21.88675192051358,0.7207310259829027
2009-3,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,8.03568843652188,43.789,17404462.65811255,1548563.1564154783,10.617461244357708,27897116.34738344,22.490522367871,0.7208866930251907
2009-4,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,8.032725472935132,33.436,17446805.964013346,1538074.478737411,10.617462359908064,27712942.394610155,23.15232894680713,0.7210423600674787
2009-5,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,8.029762509348384,40.73,17489149.269914143,1527585.8010593436,10.61746347545842,27528768.441836875,23.99107035388484,0.7211980271097667
2009-6,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,8.026799545761635,47.101,17531492.57581494,1517097.1233812764,10.617464591008776,27344594.48906359,24.796296279474323,0.7213536941520546
2009-7,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,8.023836582174887,48.825,17573835.881715737,1506608.4457032091,10.61746570655913,27160420.53629031,25.735267757064594,0.7215093611943426
2009-8,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9676854539357764,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,8.02087361858814,44.55,17616179.18761653,1496119.768025142,10.617466822109488,26976246.58351703,26.667164644286007,0.7216650282366306
2009-9,0.4517057294318006,-9303.102943424732,2.248138981864224,0.724499229322103,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,8.017910655001392,40.56,17658522.493517328,1485631.090347075,10.617467937659844,26792072.630743746,27.500707773569324,0.7218206952789186
2009-10,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7633071541231229,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,8.014947691414644,36.123,17700865.799418125,1475142.4126690072,10.6174690532102,26607898.677970465,28.34571490203027,0.7219763623212065
2009-11,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7775651006383951,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,8.011984727827896,33.062,17743209.10531892,1464653.73499094,10.617470168760557,26423724.725197185,29.350128940451896,0.7221320293634945
2009-12,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6588931475137494,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,8.009021764241147,31.573,17785552.411219716,1454165.0573128727,10.617471284310913,26239550.7724239,30.474906519424668,0.7222876964057825
2010-1,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.8031841697782718,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,8.0060588006544,30.47,17827895.717120513,1443676.3796348055,10.617472399861269,26055376.81965062,31.560825320304502,0.7224433634480705
2010-2,0.4638866746250542,-9576.958631035535,2.030863470139216,0.5926900446632651,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,8.005043513828806,31.553,17866905.72007675,1434264.7971527912,10.618695186867706,25912830.3168224,32.37248178714304,0.7225642165187696
2010-3,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,8.004028227003214,34.995,17905915.72303299,1424853.214670777,10.619917973874148,25770283.81399418,33.17659244324848,0.7226850695894688
2010-4,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,8.003012940177621,41.649,17944925.725989223,1415441.6321887628,10.621140760880586,25627737.31116596,34.00141920202414,0.7228059226601679
2010-5,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,8.001997653352028,46.038,17983935.72894546,1406030.0497067485,10.622363547887025,25485190.808337744,34.85219366172307,0.722926775730867
