,Piauí - Depósito Poupança (R$),Piauí - IDH Renda,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - IDH Longevidade,Piauí - IDH,Piauí- custo m2 (R$),Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - IDH Educacao,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Piauí - Desemprego
2018-7,3939726.95243313,0.6487015178095759,1.723654736144464,1003.4844858576676,1252.2715914250548,28.1109722889515,19.8691532632051,63.13507086510479,1.2147929322329392,0.7500655535688947,0.6890498013486792,24897.093834742576,17.67784227575726,53.109,0.6740625701733083,26467095.34096971,1437617.7539835195,6.487084337207726,20175352.95343533,3147112.783681668,7754832.708143167,264.5673977783114,9674544.562883414,0.5428312509061592,3.081673525419346,0.3648945585252806,0.3000532519420144,680.1816531338795,2.2152710819180843,202.6978099881545,199563455.46864787,426.7837260619375,0.5435288427486608,11.026611947030569
2018-8,3948044.042042051,0.648670369387906,1.6026607618823707,1002.906257852862,1279.8502832966676,28.5743170616992,19.75118616492397,61.08219811435129,1.3113342323584671,0.7499066083049013,0.6889776984599015,24995.17311565893,17.394076527050373,63.141,0.6740847627107961,26449383.853489827,1438015.6173723992,6.4851790207616045,20168611.28027619,3161173.374352864,7751979.236069188,267.07747396933985,9671877.616336772,0.6161288722138691,3.0650959281622696,0.3657658514233124,0.2957038398442303,2763.919661232488,2.182490373260064,203.19788546332487,199633851.84887323,427.8010992018258,0.5845201125904662,11.024834722695893
2018-9,3956361.131650973,0.6486392209662363,2.167473095741084,1002.5059000805924,1262.3452412058175,28.707865635294752,20.12197948875536,61.90547246023046,1.3334503807590867,0.7497476630409078,0.6889055955711239,25105.425319706403,17.120913437809225,55.58,0.6741069552482838,26431672.366009947,1438413.480761279,6.483273704315483,20161869.60711705,3175922.8316069064,7749125.763995211,271.8585814809284,9603900.901068036,0.6740366051135752,3.039353890716323,0.3852201759804345,0.308341137605073,4007.361037620176,2.152733596601701,203.69796093849527,199704248.2290986,428.7453804921202,0.5529765291983869,11.023057498361212
2018-10,3964678.221259895,0.6486080725445665,2.1217975302021395,1002.504211401804,1238.5029741197363,28.672596769625592,20.678199937435103,64.02144514166541,1.3134291526639978,0.7495887177769143,0.6888334926823462,25219.341711822934,16.858737906757412,60.001,0.6741291477857716,26413960.878530063,1438811.3441501583,6.481368387869362,20155127.933957905,3198368.2411919544,7746272.291921233,274.51283304792724,10174872.283226963,0.7177542561347128,2.996889963775719,0.4151525802856482,0.3141753154888939,4174.914508493512,2.10797519196202,204.19803641366565,199774644.60932392,429.6253872306468,0.4991076724216306,11.021280274026536
2018-11,3972995.310868817,0.6485769241228968,2.349454292989599,1002.5345440119056,1195.7789622331425,28.42359222429289,21.30312628918488,67.22519726017342,1.2352883098947678,0.7494297725129208,0.6887613897935685,25340.941080562163,16.607946857761544,62.767,0.6741513403232593,26396249.391050182,1439209.207539038,6.479463071423241,20148386.260798763,3217793.214559772,7743418.819847254,274.9274765390835,10893441.955257,0.7723522886923776,2.9632487708984088,0.4341143590809063,0.3212989509448,5007.894545671494,2.054724183351228,204.5347725127917,199845040.98954928,430.42970092860713,0.5578540476393075,11.01950304969186
2018-12,3981312.400477738,0.6485457757012271,2.871167904593708,1002.8629070883892,1151.0654681101455,27.952621420587622,21.912796690961017,71.2566920178203,1.135597161729191,0.7492708272489272,0.6886892869047908,25471.1525302344,16.36894916325329,45.308,0.6741735328607471,26378537.9035703,1439607.0709279175,6.47755775497712,20141644.58763962,3233139.491150345,7740565.347773276,275.2862133078289,11294362.972876793,0.8188839179929231,2.938027746934826,0.4462102421398145,0.3517183793100564,6196.877278409354,2.0126469916832392,204.87150861191773,199915437.36977464,431.1147626085431,0.4970230904665642,11.017725825357182
2019-1,3989629.49008666,0.6485146272795573,2.7590596158314145,1002.9213831279056,1116.4213261553016,27.62899910317683,22.273224494041084,74.11338185733261,1.0730300608027483,0.7491118819849337,0.6886171840160131,25620.7524463874,16.142166324228292,57.142,0.6741957253982348,26360826.41609042,1440004.9343167972,6.475652438530998,20134902.91448048,3241680.9411420235,7737711.875699298,275.0773407155792,11053032.574638758,0.8964654073710557,2.950255303566647,0.4625053223582739,0.3530778978870197,4628.979909058911,1.984242274075146,205.2082447110438,199985833.75,432.3118860904052,0.4536031596049339,11.015948601022505
2019-2,4074202.2366124415,0.6484427683953116,2.7203748344133745,1002.9006754350578,1090.9579158679958,27.40483966037276,22.49747531395561,76.02889114017206,1.0085222028256424,0.748915759878759,0.6884854960161344,25767.90137929676,15.92803246963583,46.283,0.6740608445300396,26329602.8874362,1440383.0844371568,6.472970473568006,20125215.658605486,3253557.2864584737,7733993.9752234975,272.34344383498,10560449.228493111,0.9613539894886018,2.9616566101002944,0.492198592675812,0.363540940595364,5916.697911939956,1.962208936108535,205.6027092868512,200071297.0347222,433.0971481604692,0.374744071408169,11.00475474291411
2019-3,4158774.983138223,0.6483709095110658,2.3767600865848038,1003.2734331117648,1086.589710911658,27.23877429758703,22.35404298817281,76.21703112581987,1.0010884523128891,0.7487196377725842,0.6883538080162558,25920.856443323453,15.726995050185035,43.39,0.6739259636618444,26298379.35878198,1440761.2345575164,6.470288508605015,20115528.4027305,3266404.0455201,7730276.074747696,267.36652869554604,10403101.036288377,0.9922348162286888,2.994382382733388,0.518818874802468,0.3734846407574057,5520.432988796697,1.9416080807058884,205.9971738626585,200156760.31944445,433.8759184279469,0.4956453878114265,10.993560884805715
2019-4,4243347.729664005,0.64829905062682,2.200345274330875,1003.557045715128,1099.7210993488732,27.139147549187204,21.91134143710689,75.0875321280143,1.0280947113599994,0.7485235156664094,0.6882221200163771,26081.25647535105,15.53844578662065,40.824,0.6737910827936492,26267155.83012776,1441139.3846778758,6.467606543642023,20105841.146855507,3277070.8663957147,7726558.174271896,264.7869950885037,10292765.598772297,1.0281222722573198,2.9952077985667365,0.5335376321688695,0.3643719899254779,5055.185180977277,1.9170839767672327,206.39163843846592,200242223.6041667,434.7112762957004,0.5241803612683422,10.982367026697322
2019-5,4327920.476189787,0.6482271917425743,1.7004031536672763,1004.0020155624576,1162.4003352825614,27.235551884280337,21.02536198350493,71.59452799361604,1.090770357804174,0.7483273935602347,0.6880904320164984,26247.03807062189,15.36286293280385,55.063,0.6736562019254541,26235932.30147354,1441517.5347982354,6.464924578679031,20096153.89098052,3286496.9823831627,7722840.273796095,261.54480006258126,10294781.632050132,1.0918504238017774,3.0099180362600246,0.5740445809008098,0.3693162019411377,5539.336630210192,1.896664638848358,206.56086067824955,200327686.8888889,435.536470990692,0.4342481224547813,10.971173168588926
2019-6,4412493.222715568,0.6481553328583285,1.5090579929257704,1004.2350253838906,1204.7163265902875,27.436635270520668,20.159248507214222,67.9555998811719,1.174890805955229,0.74813127145406,0.6879587440166197,26416.68084493304,15.197313790800338,56.474,0.6735213210572588,26204708.77281932,1441895.684918595,6.46224261371604,20086466.635105528,3298874.5697557754,7719122.373320294,258.6848612508291,10320775.962706486,1.0993189754324773,3.0110251669653523,0.6213386407393423,0.3773027071398842,6184.950447162058,1.8758899421225184,206.7300829180331,200413150.1736111,436.38480939825865,0.4742948418610756,10.959979310480533
2019-7,4497065.96924135,0.6480834739740826,1.4430675839415128,1003.900368705785,1251.9217993244522,27.79573460834871,19.489870323456024,64.63934254323384,1.2589639237094048,0.7479351493478852,0.687827056016741,26598.46875210556,15.040382815666243,68.133,0.6733864401890637,26173485.244165096,1442273.8350389546,6.459560648753048,20076779.379230537,3316673.310427788,7715404.472844493,257.61365642366474,10358945.135041324,1.129155636153343,3.036188640645076,0.6254767746825313,0.3968803885128472,6076.306190415794,1.8584015680579875,206.8993051578167,200498613.4583333,437.180627179316,0.5475632504322174,10.94878545237214
2019-8,4581638.715767132,0.6480116150898368,1.12672179143691,1003.305106780822,1298.5926387680463,28.36973511106952,19.153206040529888,61.61268548214444,1.3230231179742946,0.7477390272417104,0.6876953680168624,26786.449027369705,14.891697634069844,68.642,0.6732515593208684,26142261.715510875,1442651.9851593142,6.456878683790055,20067092.123355545,3339532.9760367125,7711686.572368692,256.8610697803875,10386654.273111563,1.1398350320060624,3.0354427615220856,0.6280714951608086,0.4112473840791077,6518.883661201889,1.8368841913676568,207.0924704880485,200584076.7430556,437.9061352905134,0.5163942009297142,10.937591594263743
2019-9,4666211.462292913,0.6479397562055911,1.1609577873087622,1002.5355791054116,1302.681358884458,28.84299400521912,19.21183046035066,60.26850521552867,1.381048473881854,0.7475429051355357,0.6875636800169836,26985.303082784976,14.751424861354872,64.741,0.6731166784526732,26111038.186856654,1443030.135279674,6.454196718827064,20057404.86748056,3365687.4572929004,7707968.671892891,257.5360490922842,10366843.514432576,1.1526577758374856,3.032326280433432,0.6350086612279392,0.4335809238132643,6534.19896978769,1.8140248078306704,207.28563581828035,200669540.0277778,438.5542870136589,0.509922556452955,10.92639773615535
