,Roraima - IDH Renda
2019-10,0.6999460417292995
2019-11,0.6997825384791527
2019-12,0.6996190352290059
2020-1,0.6994555319788591
2020-2,0.6994817102514262
2020-3,0.6995078885239934
2020-4,0.6995340667965605
2020-5,0.6995602450691276
2020-6,0.6995864233416947
2020-7,0.6996126016142619
2020-8,0.6996387798868289
2020-9,0.699664958159396
2020-10,0.6996911364319631
2020-11,0.6997173147045302
2020-12,0.6997434929770974
2021-1,0.6997696712496645
2021-2,0.6999194414864044
2021-3,0.7000692117231443
2021-4,0.7002189819598842
2021-5,0.7003687521966241
2021-6,0.700518522433364
2021-7,0.7006682926701038
2021-8,0.7008180629068437
2021-9,0.7009678331435836
2021-10,0.7011176033803235
2021-11,0.7012673736170634
2021-12,0.7014171438538033
2022-1,0.7015669140905432
