,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2013-3,7258093.692678434,348701.7066493821,12.177687312395339,5651486.812743869
2013-4,7267216.292963721,348260.5096471586,12.175409668441983,5653134.25988246
2013-5,7276338.893249008,347819.31264493515,12.173132024488629,5654781.707021052
2013-6,7285461.493534294,347378.11564271164,12.170854380535273,5656429.154159643
2013-7,7294584.093819581,346936.9186404882,12.168576736581917,5658076.601298234
2013-8,7303706.694104868,346495.7216382647,12.166299092628561,5659724.048436826
2013-9,7312829.294390154,346054.5246360412,12.164021448675205,5661371.495575417
2013-10,7321951.894675441,345613.32763381774,12.161743804721851,5663018.9427140085
2013-11,7331074.494960728,345172.1306315943,12.159466160768496,5664666.3898526
2013-12,7340197.095246014,344730.93362937076,12.15718851681514,5666313.836991191
2014-1,7349319.695531301,344289.7366271473,12.154910872861784,5667961.284129783
2014-2,7356814.552718607,343973.78828236024,12.152887574078287,5669396.592437077
2014-3,7364309.409905912,343657.8399375732,12.15086427529479,5670831.900744371
2014-4,7371804.267093219,343341.89159278607,12.148840976511295,5672267.209051666
2014-5,7379299.124280524,343025.943247999,12.146817677727798,5673702.51735896
2014-6,7386793.98146783,342709.99490321195,12.144794378944301,5675137.825666254
2014-7,7394288.838655136,342394.0465584249,12.142771080160804,5676573.133973548
2014-8,7401783.695842441,342078.09821363783,12.140747781377307,5678008.442280843
2014-9,7409278.553029747,341762.14986885077,12.13872448259381,5679443.750588138
2014-10,7416773.410217052,341446.2015240637,12.136701183810313,5680879.058895431
2014-11,7424268.267404359,341130.2531792766,12.134677885026818,5682314.367202726
2014-12,7431763.124591664,340814.30483448954,12.132654586243321,5683749.67551002
2015-1,7439257.98177897,340498.3564897025,12.130631287459824,5685184.983817315
2015-2,7445454.3031728715,340499.4966739959,12.12974654766836,5686842.3958097985
2015-3,7451650.624566774,340500.63685828936,12.128861807876895,5688499.807802283
2015-4,7457846.945960675,340501.77704258275,12.127977068085432,5690157.219794767
2015-5,7464043.267354577,340502.9172268762,12.127092328293967,5691814.631787251
2015-6,7470239.588748479,340504.05741116963,12.126207588502503,5693472.043779735
2015-7,7476435.910142381,340505.197595463,12.125322848711038,5695129.455772219
2015-8,7482632.231536282,340506.33777975646,12.124438108919573,5696786.867764703
2015-9,7488828.552930185,340507.4779640499,12.123553369128109,5698444.279757188
2015-10,7495024.874324086,340508.61814834335,12.122668629336644,5700101.6917496715
2015-11,7501221.195717988,340509.7583326368,12.121783889545181,5701759.103742155
2015-12,7507417.51711189,340510.8985169302,12.120899149753717,5703416.51573464
2016-1,7513613.8385057915,340512.0387012236,12.120014409962252,5705073.927727124
2016-2,7517501.430280039,340469.81530256703,12.119636831480253,5706619.219131857
2016-3,7521389.022054287,340427.5919039104,12.119259252998253,5708164.510536591
2016-4,7525276.613828533,340385.3685052538,12.118881674516253,5709709.801941324
2016-5,7529164.205602781,340343.1451065972,12.118504096034254,5711255.093346057
2016-6,7533051.7973770285,340300.92170794064,12.118126517552255,5712800.384750791
2016-7,7536939.389151275,340258.69830928405,12.117748939070255,5714345.676155524
2016-8,7540826.980925523,340216.4749106274,12.117371360588255,5715890.967560257
2016-9,7544714.57269977,340174.2515119708,12.116993782106256,5717436.25896499
2016-10,7548602.164474018,340132.02811331424,12.116616203624258,5718981.550369724
2016-11,7552489.7562482655,340089.8047146576,12.116238625142257,5720526.841774457
2016-12,7556377.348022512,340047.581316001,12.115861046660257,5722072.133179191
2017-1,7560264.93979676,340005.35791734443,12.115483468178258,5723617.424583924
2017-2,7560692.097306707,340036.95689857396,12.113358837568654,5723856.352774602
