data,Espirito_Santo - PIB - Per Capita,Espirito_Santo - PIB - Preços de Mercado,Espirito_Santo - PIB - Estadual,Espirito_Santo - PIB - Construção Civil,Espirito_Santo - População,Espirito_Santo - INCC (%),Espirito_Santo - IPCA - Variação mensal durante o Plano Real (%),Espirito_Santo - IGP-DI,Espirito_Santo - Taxa Selic (%),Espirito_Santo - IDH - Longevidade,Espirito_Santo - IDH - Renda,Espirito_Santo - IDH - Educação,Espirito_Santo - NFSP - Fluxo Mensal (Milhões de reais),Espirito_Santo - Estoque liquido de capital fixo - (R$),Espirito_Santo - Desemprego,Espirito_Santo - Produção de Cimento (t),Espirito_Santo - Valor,Espirito_Santo - Consumo de Cimento (t)
2008-03-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.4,1.03,0.38,0.04206310526,0.777,0.687,0.491,0.65,6647965.94362564,10.8057338048,-1.0,0.28,95606.0
2008-04-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.66,1.52,0.7,0.0420614,0.777,0.687,0.491,0.7,6647965.94362564,10.8057338048,124611.0,0.28,99359.0
2008-05-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.87,2.08,1.12,0.04274185714,0.777,0.687,0.491,0.83,6647965.94362564,10.8057338048,191623.0,0.28,100512.0
2008-06-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,2.02,2.88,1.88,0.0436576,0.777,0.687,0.491,0.93,6647965.94362564,10.8057338048,38176.0,0.28,105376.0
2008-07-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,1.92,3.64,1.89,0.04529861905,0.777,0.687,0.491,1.14,6647965.94362564,10.8057338048,84707.0,0.28,118590.0
2008-08-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,1.46,4.19,1.12,0.04627117391,0.777,0.687,0.491,1.33,6647965.94362564,10.8057338048,151713.0,0.28,122956.0
2008-09-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,1.18,4.48,-0.38,0.04822657143,0.777,0.687,0.491,1.42,6647965.94362564,10.8057338048,58660.0,0.28,118946.0
2008-10-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.95,4.76,0.36,0.04987840909,0.777,0.687,0.491,1.23,6647965.94362564,10.8057338048,307840.0,0.289,124595.0
2008-11-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.77,5.23,1.09,0.05083973913,0.777,0.687,0.491,1.22,6647965.94362564,10.8057338048,166005.0,0.2948,93808.0
2008-12-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.5,5.61,0.07,0.050753,0.777,0.687,0.491,1.24,6647965.94362564,10.8057338048,29687.0,0.32,102012.0
2009-01-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.17,5.9,-0.44,0.050823,0.777,0.687,0.491,1.13,6647965.94362564,6.2384633772,598659.0,0.32,90226.0
2009-02-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.33,0.48,0.01,0.04964833333,0.777,0.687,0.491,0.95,6773699.30541316,6.2384633772,-1.0,0.34,83399.0
