,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
2011-5,396288725.8546993,18455221.173281226,22.246073520331983,351586411.2618636
2011-6,396788383.5854636,18446607.39819178,22.240833699794972,351561783.3169759
2011-7,397288041.3162278,18437993.623102333,22.235593879257962,351537155.3720882
2011-8,397787699.04699206,18429379.848012887,22.230354058720955,351512527.4272005
2011-9,398287356.77775633,18420766.07292344,22.225114238183945,351487899.4823128
2011-10,398787014.5085206,18412152.297833994,22.21987441764694,351463271.53742504
2011-11,399286672.2392849,18403538.522744548,22.214634597109928,351438643.59253734
2011-12,399786329.9700491,18394924.7476551,22.20939477657292,351414015.64764965
2012-1,400285987.70081335,18386310.972565655,22.20415495603591,351389387.70276195
2012-2,400656134.9353902,18371503.22461507,22.196225082664036,351311229.79128355
2012-3,401026282.169967,18356695.476664484,22.18829520929216,351233071.87980515
2012-4,401396429.4045438,18341887.7287139,22.180365335920285,351154913.96832675
2012-5,401766576.63912064,18327079.980763316,22.172435462548414,351076756.05684835
2012-6,402136723.87369746,18312272.23281273,22.16450558917654,350998598.14536995
2012-7,402506871.1082743,18297464.484862145,22.156575715804664,350920440.23389155
2012-8,402877018.3428511,18282656.73691156,22.14864584243279,350842282.32241315
2012-9,403247165.5774279,18267848.988960974,22.140715969060913,350764124.41093475
2012-10,403617312.81200475,18253041.24101039,22.132786095689042,350685966.49945635
2012-11,403987460.04658157,18238233.493059807,22.124856222317167,350607808.58797795
2012-12,404357607.2811584,18223425.74510922,22.11692634894529,350529650.67649955
2013-1,404727754.5157352,18208617.997158635,22.108996475573417,350451492.76502115
2013-2,404970475.65704596,18183983.0169278,22.09955288974606,350336417.1080337
2013-3,405213196.7983567,18159348.036696963,22.090109303918705,350221341.4510462
2013-4,405455917.93966746,18134713.05646613,22.08066571809135,350106265.7940588
2013-5,405698639.0809782,18110078.076235294,22.071222132263994,349991190.1370714
2013-6,405941360.22228897,18085443.09600446,22.06177854643664,349876114.48008394
2013-7,406184081.3635997,18060808.115773626,22.052334960609286,349761038.8230965
2013-8,406426802.50491047,18036173.135542788,22.04289137478193,349645963.166109
2013-9,406669523.6462212,18011538.155311953,22.033447788954575,349530887.5091216
2013-10,406912244.787532,17986903.17508112,22.02400420312722,349415811.85213417
2013-11,407154965.9288427,17962268.19485028,22.014560617299864,349300736.1951467
2013-12,407397687.0701535,17937633.214619447,22.00511703147251,349185660.53815925
2014-1,407640408.2114642,17912998.234388612,21.995673445645153,349070584.8811718
2014-2,407740025.93298906,17886920.915963966,21.985168146320607,348928183.4366848
2014-3,407839643.65451384,17860843.59753932,21.97466284699606,348785781.9921978
2014-4,407939261.3760387,17834766.279114675,21.964157547671512,348643380.5477108
2014-5,408038879.0975635,17808688.96069003,21.953652248346966,348500979.10322374
2014-6,408138496.81908834,17782611.642265383,21.94314694902242,348358577.65873677
2014-7,408238114.5406132,17756534.323840737,21.932641649697874,348216176.21424973
2014-8,408337732.26213795,17730457.00541609,21.92213635037333,348073774.7697627
2014-9,408437349.9836628,17704379.686991446,21.911631051048783,347931373.3252757
2014-10,408536967.7051876,17678302.3685668,21.901125751724237,347788971.8807887
2014-11,408636585.4267124,17652225.050142154,21.890620452399688,347646570.43630165
