State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Santa Catarina,2009-12,1.6810810810810812,1011.2600806451613,1454.9663755458505,24.89206989247312,20.433198924731183,76.96505376344086,2.581989247311828,2009
Santa Catarina,2010-01,1.8741379310344826,1011.4782258064516,1298.8784313725487,25.406989247311827,21.581317204301076,80.06317204301075,2.2821236559139786,2010
Santa Catarina,2010-02,3.1818181818181808,1011.8882440476191,1365.0926892950388,26.429613095238096,22.338392857142857,79.02083333333333,2.1177083333333333,2010
Santa Catarina,2010-03,2.1832061068702253,1012.4224462365592,1222.8254854368934,24.241397849462363,20.586155913978494,80.9489247311828,1.9138440860215056,2010
Santa Catarina,2010-04,1.2368932038834954,1017.0294444444444,983.828378378379,21.775416666666665,17.853055555555557,79.27916666666667,2.058472222222222,2010
Santa Catarina,2010-05,2.9789473684210495,1016.5055779569893,822.2682451253489,19.534744623655914,16.40826612903226,82.83064516129032,2.03125,2010
Santa Catarina,2010-06,1.197333333333334,1020.4909027777777,878.2882882882883,17.248541666666664,13.575208333333332,80.0423611111111,1.9098611111111112,2010
Santa Catarina,2010-07,1.168235294117648,1020.957123655914,778.5306406685238,17.180846774193547,14.030443548387096,82.43077956989248,2.0934811827956987,2010
Santa Catarina,2010-08,1.6924999999999941,1021.0132392473118,1034.3593314763234,16.27204301075269,12.274462365591399,78.30779569892474,2.369556451612903,2010
Santa Catarina,2010-09,1.4285714285714288,1017.5470833333334,986.7913385826782,18.741944444444446,15.17611111111111,80.67361111111111,2.21875,2010
Santa Catarina,2010-10,2.0029411764705887,1015.3270161290324,1293.554312354313,19.39677419354839,14.849327956989248,75.9502688172043,2.5130376344086023,2010
Santa Catarina,2010-11,2.0025974025974036,1012.0073611111112,1486.2103529411754,21.61513888888889,17.28111111111111,77.13472222222222,2.419027777777778,2010
Santa Catarina,2010-12,1.1076923076923082,1010.0997311827956,1290.473626373627,23.354032258064517,19.309139784946236,78.70967741935483,2.4106182795698925,2010
Santa Catarina,2011-01,3.0926315789473655,1009.2869623655914,1270.7563043478267,25.732526881720432,22.02029569892473,80.60215053763442,2.046505376344086,2011
Santa Catarina,2011-02,2.0637037037037027,1011.7846726190477,1259.8839473684213,25.33809523809524,21.886904761904763,81.73809523809524,2.2296130952380953,2011
