,Espírito Santo - Desemprego,Espírito Santo - IDH,Espírito Santo - IDH Educacao,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Espírito Santo - Consumo de Cimento (t),Espírito Santo - IDH Longevidade,Espírito Santo - IDH Renda,Espírito Santo- custo m2 (R$),Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado,Espírito Santo - Produção de Cimento (t),Espírito Santo - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Espírito Santo - value
2013-1,9.956265473824985,0.7736187369248038,0.7252065945005611,2.318432570142491,1014.302981430605,1489.5355392813549,25.53347861827415,20.69407575841594,76.27688502921686,1.8866344401935415,122.398,0.8685349564534234,0.7362581696969697,19612.52023260921,71735650.15352009,3582357.406650508,16.69296514401083,60341490.46236221,207.1799555956442,8628772.66809412,2367298.4683394725,7833254.061482005,184.0207113102322,7800751.729971935,0.4466402817276171,3.543704266462436,0.6113594968254873,0.5046931182782365,-8401.94723497529,2.2677230439962424,188.85416992418587,194406722.6863112,365.0225618854287,0.6325213170151893,0.3587874467275692
2013-2,9.997422928988598,0.7736785892645593,0.7253746958512595,2.160380735856461,1014.6791349075193,1440.8240027125346,25.16786019394646,20.47555508598816,76.84593594919225,1.778979315353587,114.009,0.8685247825399055,0.7363016292087542,19687.371535054182,71772719.44960487,3578357.666660311,16.68540783441042,60320108.171266034,206.844924575848,8659507.661799718,2394179.327506236,7833744.844245157,182.38400186261623,7530379.099825201,0.44956565047477,3.5116198230625195,0.6049217884945463,0.5124255618774355,-7683.858924014924,2.2834910014644234,189.3772080784556,194494304.85081053,366.0989432089624,0.7238970008216834,0.3593330621979936
2013-3,10.038580384152212,0.7737384416043149,0.7255427972019578,2.167867353885564,1015.3395423239464,1336.850258090633,24.560731838906857,20.18378967255715,78.14682271572518,1.6517695476876508,115.432,0.8685146086263875,0.7363450887205387,19761.632650664076,71809788.74568966,3574357.926670115,16.677850524810008,60298725.88016986,206.32013974680763,8690242.655505316,2424996.1591691417,7834235.627008309,182.2635441694569,7540072.397747427,0.4689655756860415,3.4890648179049912,0.6055953327124688,0.5277338631085374,-7874.357530363,2.30250674180213,189.90024623272527,194581887.01530987,367.06212595817374,0.7284023772815685,0.3598638368195674
2013-4,10.079737839315827,0.7737982939440705,0.7257108985526561,1.6570535481227562,1016.4454449650372,1274.257109183594,23.77650548472328,19.56693385777378,78.75831699470736,1.5730715266781896,117.022,0.8685044347128696,0.7363885482323232,19838.512997167058,71846858.04177444,3570358.186679919,16.670293215209597,60277343.58907369,205.11015172846612,8720977.649210913,2457438.4973350754,7834726.409771461,183.90860323956915,7510768.410540526,0.4808492138370067,3.438136928193502,0.6049377101169569,0.5336755979317418,-7983.55089917278,2.328894103495439,190.4232843869951,194669469.17980924,367.99228026490215,0.7477355306075513,0.3603792132909741
2013-5,10.120895294479444,0.7738581462838261,0.7258789999033545,1.6277572571681147,1017.3144304110724,1254.0721705519593,23.186523787713192,18.98554108241322,78.73512550385833,1.5796183506050794,112.801,0.8684942607993518,0.7364320077441078,19914.235005969644,71883927.33785923,3566358.4466897226,16.66273590560919,60255961.29797752,204.01479462931908,8751712.64291651,2489286.3313008435,7835217.192534613,186.8788079811678,7556097.492839592,0.4901839320084706,3.3714403492196987,0.6092086325659531,0.5388021137696795,-7615.094274633246,2.34263188987848,190.83744220181407,194757051.34430856,368.9211334222518,0.7368569931299708,0.3608702772476969
2013-6,10.162052749643058,0.7739179986235817,0.7260471012540528,1.4421242443563995,1017.9571691184412,1250.823114668646,22.895758435773065,18.65817413054563,78.49457065785313,1.6306079388463322,114.576,0.8684840868858339,0.7364754672558923,20015.62548729194,71920996.633944,3562358.7066995264,16.655178596008778,60234579.00688134,202.78706224974465,8782447.636622109,2520260.365727184,7835707.975297765,192.29989065376057,7623033.252264025,0.4977501851159618,3.27991545548264,0.6003939469641899,0.5488843980670126,-7352.877238643337,2.363408595693961,191.25160001663303,194844633.508808,369.8131367948833,0.6481133916523047,0.3613467852865715
2013-7,10.203210204806672,0.7739778509633373,0.7262152026047513,1.3610476491436774,1018.1297819580028,1258.011767199498,22.786203223548625,18.359978157058062,77.59172717390723,1.729695066922764,126.325,0.868473912972316,0.7365189267676768,20092.509678020368,71958065.9300288,3558358.9667093297,16.647621286408366,60213196.71578516,200.861732129324,8813182.630327705,2545943.1394056054,7836198.758060917,199.92706375403165,7662651.255262723,0.4941458500105189,3.226271160940468,0.588257252871006,0.5580294451821031,-7192.841626570655,2.393575578288626,191.665757831452,194932215.6733073,370.645155532855,0.6628312331448613,0.3618113752358567
2013-8,10.244367659970289,0.7740377033030927,0.7263833039554496,1.5112795498989222,1017.541286705078,1300.159166268332,22.996328374153983,18.52121374820006,77.44230138793527,1.8018234426156652,122.029,0.868463739058798,0.7365623862794612,20188.81612225392,71995135.22611357,3554359.2267191336,16.640063976807955,60191814.42468899,199.068967906454,8843917.624033302,2569097.3010265576,7836689.54082407,206.9907506049462,7706054.88572335,0.4993334599921049,3.1672373232846214,0.590312709374934,0.5639348917935356,-6960.548770036087,2.4314858886849344,191.88514518759072,195019797.83780667,371.4132788471104,0.7819503583692398,0.3622013534760482
2013-9,10.285525115133902,0.7740975556428483,0.7265514053061479,1.7114891151506977,1016.27932070714,1305.8746779378894,23.48780199402955,19.165979582175755,78.2096091563211,1.8450685632869168,114.448,0.8684535651452802,0.7366058457912458,20287.988884935952,72032204.52219835,3550359.4867289374,16.632506667207544,60170432.133592814,196.9976597851029,8874652.6177389,2592664.4880864327,7837180.323587221,214.31263913363983,7711899.409921214,0.518698005154016,3.112701696845018,0.5883789943968316,0.5721649314585118,-6847.000952014708,2.4711648234950228,192.10453254372948,195107380.00230604,372.1112182147452,0.8159291910683549,0.3626305215662697
2013-10,10.326682570297518,0.7741574079826039,0.7267195066568463,1.9466890800814445,1015.5189054707074,1390.5567162344212,24.106268214077453,19.71182518944908,78.05817968426403,1.8852721675976811,129.924,0.8684433912317623,0.7366493053030303,20387.9025878779,72069273.81828314,3546359.746738741,16.624949357607136,60149049.84249664,195.25112569509545,8905387.611444497,2624849.357822598,7837671.106350373,220.46814853080568,8154891.371640913,0.5267204103521198,3.033987804025928,0.586680702681813,0.584033531345466,-6919.499864502943,2.512916253999241,192.3239198998682,195194962.1668054,372.73516445653325,0.5912474783361916,0.363046620981483
2013-11,10.367840025461131,0.7742172603223595,0.7268876080075446,2.027171264550061,1014.8437478904508,1482.8657574313615,24.741326873027266,20.287661659294717,78.04724965008414,1.873206130191355,105.72,0.8684332173182443,0.7366927648148148,20488.834900454516,72106343.11436792,3542360.006748545,16.617392048006725,60127667.55140047,193.1586713401591,8936122.605150094,2657805.769181806,7838161.889113526,225.53306879588595,8699111.485892426,0.5382245752764477,2.963337900174189,0.5879491241011995,0.5955117370578658,-6561.5305368475965,2.551397636335105,192.341652824172,195282544.3313048,373.30111983674254,0.5260162419170064,0.3633952013283206
