,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2009-3,49675803.04520871,2272747.142678038,16.588298670794885,40942070.72184358
2009-4,49798210.84470387,2274487.7785801105,16.599598660794943,40986053.867934585
2009-5,49920618.644199036,2276228.414482183,16.610898650795,41030037.0140256
2009-6,50043026.4436942,2277969.050384255,16.62219864079506,41074020.160116605
2009-7,50165434.243189365,2279709.6862863274,16.633498630795117,41118003.30620761
2009-8,50287842.042684525,2281450.3221884,16.64479862079517,41161986.45229863
2009-9,50410249.842179686,2283190.9580904725,16.65609861079523,41205969.59838963
2009-10,50532657.641674854,2284931.593992545,16.667398600795288,41249952.74448065
2009-11,50655065.441170014,2286672.2298946176,16.678698590795342,41293935.890571654
2009-12,50777473.24066518,2288412.86579669,16.6899985807954,41337919.03666267
2010-1,50899881.04016034,2290153.501698762,16.70129857079546,41381902.182753675
2010-2,51011793.20178888,2290547.0016578664,16.710607250908964,41416876.82781938
2010-3,51123705.363417424,2290940.5016169706,16.71991593102247,41451851.47288507
2010-4,51235617.52504596,2291334.0015760753,16.729224611135976,41486826.117950775
2010-5,51347529.686674505,2291727.5015351796,16.73853329124948,41521800.76301648
2010-6,51459441.84830304,2292121.001494284,16.747841971362988,41556775.40808217
2010-7,51571354.00993158,2292514.501453388,16.757150651476493,41591750.053147875
2010-8,51683266.17156012,2292908.0014124922,16.766459331590003,41626724.69821358
2010-9,51795178.33318866,2293301.5013715965,16.77576801170351,41661699.34327927
2010-10,51907090.494817205,2293695.0013307007,16.785076691817014,41696673.988344975
2010-11,52019002.65644574,2294088.5012898054,16.79438537193052,41731648.63341068
2010-12,52130914.818074286,2294482.0012489096,16.803694052044026,41766623.27847637
2011-1,52242826.97970282,2294875.501208014,16.813002732157532,41801597.923542075
2011-2,52343759.06871787,2294365.2266732613,16.819234314481253,41829549.67570211
2011-3,52444691.157732904,2293854.952138509,16.82546589680497,41857501.42786214
2011-4,52545623.24674794,2293344.6776037565,16.831697479128692,41885453.18002217
2011-5,52646555.335762985,2292834.403069004,16.837929061452414,41913404.93218221
2011-6,52747487.42477803,2292324.128534252,16.84416064377613,41941356.68434224
2011-7,52848419.513793066,2291813.853999499,16.850392226099853,41969308.43650228
2011-8,52949351.6028081,2291303.5794647466,16.856623808423574,41997260.188662305
2011-9,53050283.69182315,2290793.3049299945,16.862855390747292,42025211.94082234
