,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH Educacao,Goiás - IDH,Precipitação (mm/day),Pressão Atmosférica (mB),Radiação Global - Dia (Kj/m²),Temmperatura do Ar - Bulbo Seco (°C),Temperatura de Ponto de Orvalho (°C),Humidade Relativa do Ar (%),Velocidade do Vento (m/s),Goiás - IDH Longevidade,Goiás- custo m2 (R$),Goiás - Depósito Poupança (R$),Goiais - Preço Cimento,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego,Goiás - IDH Renda,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2015-5,116.3412092311768,252.9327367772848,0.751210042939307,0.7542822306552242,2.0624841706883537,933.9210197784216,1357.4710447657544,22.805571075600987,14.80960739210197,65.15326356438476,1.2426908786338229,0.7805450088731262,22307.353941017824,10342070.109973934,0.362182499964372,111706761.16483036,5610513.330839992,14.199145898200406,87838822.50405724,9.391557009181303,0.7341748210616266,3090488.678403011,7828465.914008795,310.48760381145945,9163998.946236182,0.5257622894811392,2.959722168652049,0.5418486420045491,0.5670526867581346,-1293.4323802746076,2.593045627781998,192.5178647405084,196741943.61245853,387.3885874376509,0.9786792591641936
2015-6,116.36154193273984,257.5804867622149,0.7521422821097243,0.7545313927958976,2.018875185230172,933.8603547180912,1387.1383908408116,23.247128308860987,13.74303683593274,60.491631021216925,1.280512359768592,0.7809802840071001,22410.541972024123,10303026.870291715,0.3626682150950584,111755632.31123032,5605936.755587261,14.197275038501845,87836406.40334812,9.389918581171797,0.7334799917521173,3107411.4061775883,7827277.0265994,319.0419352483684,9182618.747327048,0.4987332763683365,2.9921362616466083,0.5400657850543165,0.5478333106966745,-1067.0845865121862,2.546115295902478,192.5798317983241,196818954.7009121,388.4193961992966,1.0653216299246508
2015-7,116.43477616509276,272.4267063237135,0.7530745212801415,0.7547805549365711,1.846602457538224,933.34107705719,1428.0017643119277,24.137226852164925,13.192471565444334,56.42598524066064,1.3026157098093163,0.7814155591410741,22510.27110599945,10263983.6306095,0.3631485205091708,111804503.45763028,5601360.180334532,14.195404178803283,87833990.302639,9.388280153162285,0.732785162442608,3127015.81691612,7826088.139190003,327.69972222059255,9161759.810184646,0.4787533394551196,3.044371686059731,0.5074060266479925,0.5365873701380962,-977.4173895299176,2.494946044886325,192.6417988561399,196895965.7893657,389.4655845924521,0.8325167309078593
2015-8,116.89365986388292,279.2718342630389,0.7540067604505587,0.7550297170772445,2.295058959360062,932.617910385808,1473.16320780916,24.834124767034773,13.660415287445293,55.94359343140153,1.3357525532775594,0.781850834275048,22612.07876146685,10224940.390927283,0.3636232193143506,111853374.60403022,5596783.605081802,14.19353331910472,87831574.20192987,9.386641725152774,0.7320903331330988,3143855.6446187417,7824899.251780608,336.8432173726992,9124084.736476338,0.471500431076438,3.103301589541268,0.5018784506026249,0.5273742665657696,-1005.6966908148006,2.438647482980156,192.698091942564,196972976.8778193,390.5894129957969,1.07847370311493
2015-9,117.22451285445992,271.3510504001858,0.754938999620976,0.755278879217918,2.2601867725379274,932.0878194894748,1469.5994702935263,25.40331523293852,14.784935462970529,57.8863748102534,1.294746002957847,0.7822861094090219,22698.98276151812,10185897.151245069,0.3640921038713249,111902245.75043018,5592207.029829072,14.191662459406158,87829158.10122074,9.385003297143264,0.7313955038235895,3159665.292306972,7823710.364371212,345.9393290159121,9111627.991960196,0.4754222059965265,3.1775346551202,0.4892573432807409,0.5254036415611213,-1039.1595055245705,2.375528331843324,192.75438502898817,197049987.9662729,391.7984311210859,0.9625157301509716
2015-10,117.66765976491637,273.9083968003053,0.7558712387913933,0.7555280413585915,2.248195416613517,931.6181991214336,1420.1124588460475,25.35100591487279,16.083862609382987,62.35067128600412,1.270931966321801,0.7827213845429959,22798.284774507923,10146853.91156285,0.364152656717093,111951116.89683014,5587630.454576341,14.189791599707595,87826742.00051162,9.383364869133754,0.7307006745140803,3177292.3873851425,7822521.476961817,356.19830338681936,9630300.092613306,0.4476002509116798,3.2541672489322933,0.4890711871355146,0.5220003499305623,-1243.715598453343,2.3072500360953296,192.8106781154123,197126999.05472648,393.0323982618425,1.138988731876403
2015-11,117.97376419163756,250.7721254887743,0.7568034779618105,0.7557772034992649,2.256264013345003,931.5089883956148,1410.44514580565,25.11250743148506,17.262278131683036,66.60076415449775,1.2177001449231135,0.7831566596769698,22899.47472675117,10107810.671880633,0.3641965098631737,111999988.0432301,5583053.879323612,14.187920740009035,87824325.89980248,9.381726441124242,0.7300058452045711,3192249.535938423,7821332.589552421,363.3180588898181,10206133.8713167,0.4263937170455484,3.3303403808104988,0.4860587480427329,0.5097139584731153,-1329.2467358809024,2.2426446030768825,192.71500366484773,197204010.14318004,394.3264198716264,1.0384357357644425
2015-12,117.96231096790108,247.5,0.7577357171322276,0.7560263656399384,1.9397996502885195,931.7172459556436,1390.092064482959,25.010631478275457,17.841938133496825,68.83522428339886,1.1683131137245006,0.7835919348109438,23000.65471506149,10068767.432198416,0.3642232826355607,112048859.18963006,5578477.3040708825,14.186049880310474,87821909.79909335,9.380088013114731,0.7293110158950619,3199905.584664713,7820143.702143026,370.6753320957318,10510897.40146,0.4149277811632851,3.384901525948558,0.4784691485313357,0.4963303303387326,-1107.7866583101536,2.1904251534185515,192.6193292142832,197281021.23163363,395.7087257778466,1.0724646806663891
2016-1,118.17032586321793,176.6736803246135,0.7586679563026449,0.7562755277806119,1.652383572291631,931.7216366284858,1415.3553026478305,24.913318361249853,17.83604847403796,68.9618072342476,1.1628050358463111,0.7840272099449177,23103.9253385058,10029724.1925162,0.3644033972637687,112097730.33603002,5573900.728818152,14.184179020611912,87819493.69838423,9.37844958510522,0.7286161865855526,3192683.824120628,7818954.81473363,382.5445279629593,10343811.360967338,0.4151945630880473,3.443048381351812,0.4806328467484032,0.4804030314721972,-3390.8754810096625,2.1483491910676875,192.52365476371864,197358032.3200872,397.38532715218463,1.0732914432300884
2016-2,118.4371324737451,164.01278718300702,0.758703319607968,0.7562170090516771,1.944094115290937,932.3332452124426,1452.7309991683571,24.772450554050263,17.35172172352016,67.4091354111856,1.148683216285297,0.7837698403232883,23209.510645960658,10083844.056397315,0.3648559298103035,112116489.54013585,5572398.262357256,14.183640853065857,87820712.14797816,9.345310968996564,0.7285981273930189,3181310.681757068,7817259.857969137,394.0024086047662,9967913.080171468,0.3840895451802815,3.5015899814600737,0.4731333880353363,0.4582345653383405,-2667.741466194896,2.1171823395135774,192.57455969022865,197432600.1003621,398.3271963640914,0.9886443684835264
