,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2014-9,0.8055472853285945,0.4706038043567634,0.6425793355672005,-2848.963410513361,2.808315116654504,0.8350796030219083,0.6235028742448315,196108502.39253065,7835195.460644195,0.5613727046660177,5.69920838199399,1.842783794189135,1016.2218315368074,1213.358076266552,21.23843028550385,17.031216577074453,78.03517528005274,1.0482916862346945,304.25,131.23655692152852,156970392.61976025,6799977.547120218,20.05379604211884,127684717.92999856
2014-10,0.80553772799523,0.4740475828004444,0.6392578161601571,-3907.107095676229,2.804908515488413,0.9756249899384358,0.6297128451395438,196189851.609059,7834701.96139474,0.561882595374384,5.722635062637532,1.9935039201548947,1015.434753688178,1329.0342089533392,22.42229535885175,17.932378042549267,76.8941031471044,1.0790031768843371,304.25,130.26307119652094,157081441.64232492,6798124.920711465,20.049860947857976,127677981.32449128
2014-11,0.8055281706618654,0.4773041388797624,0.6373515694579686,-3227.51837665533,2.795899184623759,0.9180574682586488,0.6229666635258632,196271200.8255874,7834208.462145286,0.5609901993899514,5.746061743281073,2.1093258975602143,1014.3908449351424,1355.881930459503,23.30128944493333,18.85717188460419,77.21373940910647,1.0716487709106068,304.25,129.2607839223761,157192490.6648896,6796272.294302712,20.04592585359712,127671244.718984
2014-12,0.8055186133285009,0.4803650588292329,0.6360469982134822,-1917.4317974494293,2.78399183647624,0.788962224048855,0.620227626267029,196352550.0421158,7833714.962895832,0.5583468086194056,5.769488423924615,2.124496153730219,1014.0192201907493,1365.2414783820243,23.886865662305706,19.52163298096387,77.6375106125538,1.0180827146704616,304.25,128.22880557249823,157303539.68745425,6794419.667893958,20.041990759336255,127664508.11347674
2015-1,0.8055090559951364,0.4836295807732443,0.6307582587964796,-2616.8997576320057,2.7629000308796305,1.042209076805477,0.6247636985731346,196433899.2586442,7833221.463646377,0.5643201849311866,5.7929151045681575,2.104761282331782,1014.2914775267998,1347.3546805395897,23.97182633935157,19.63680205139004,77.78223518678935,0.949517915353298,288.2914999999998,127.17073093168716,157414588.71001893,6792567.041485205,20.0380556650754,127657771.50796948
2015-2,0.8056836674036946,0.4866928322979694,0.6147595881948112,-1862.845727482143,2.731373030611945,0.9523099376838796,0.6159498907536554,196510910.34709772,7832032.576236982,0.5578499948925274,5.793409179364693,2.0251905837495867,1014.9042550600326,1252.2157592404008,23.2942741489424,19.207267550568297,78.84032964758262,0.8744243987290481,272.333,126.2505636517174,157505197.13225883,6789866.097782569,20.037107747786447,127664415.26423514
2015-3,0.8058582788122526,0.489345746374534,0.5970521193441455,-1788.67566224678,2.690513480186384,1.0316822290915963,0.6007740589226123,196587921.43555132,7830843.688827586,0.5538281215537108,5.793903254161229,1.8116574630121764,1016.0629749304816,1168.464486392837,22.28796017241761,18.220665570876093,78.86605285625383,0.7974583886441543,272.333,125.68022912466247,157595805.55449873,6787165.154079934,20.03615983049749,127671059.0205008
2015-4,0.8060328902208107,0.4917831389044643,0.5743851449816068,-1983.071950652572,2.644962597296267,1.155610329600543,0.5534640279682566,196664932.5240049,7829654.801418191,0.5397104233667973,5.794397328957766,1.8635086645452097,1016.9345097857738,1066.8554000855518,21.171353858193964,17.342339965441127,79.8967816253231,0.7171887076603654,272.333,124.91395789952112,157686413.97673863,6784464.210377298,20.03521191320853,127677702.77676646
2015-5,0.8062075016293688,0.4937915463566396,0.5670526867581346,-1293.4323802746076,2.593045627781998,0.9786792591641936,0.5257622894811392,196741943.61245853,7828465.914008795,0.5418486420045491,5.794891403754302,1.7964446493297273,1017.551456205332,1020.018162307866,20.45689709711571,16.78771045195578,80.58757165125071,0.708520710248011,272.333,124.43986171575588,157777022.39897853,6781763.266674662,20.034263995919577,127684346.53303212
2015-6,0.806382113037927,0.4953571350338699,0.5478333106966745,-1067.0845865121862,2.546115295902478,1.0653216299246508,0.4987332763683365,196818954.7009121,7827277.0265994,0.5400657850543165,5.795385478550838,1.7837401503136012,1017.4070152417424,995.1321616245788,19.96718850723805,16.39355914527812,80.99170548441316,0.7605306287906587,272.333,123.65608839920242,157867630.82121843,6779062.322972026,20.033316078630623,127690990.2892978
