,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiais-03anhão - value,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego
2009-1,92.6147998009629,176.151,0.7514786704050409,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7501827891642874,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,2.172752180200734,930.395087252885,1436.658968792983,23.88979531187937,18.080332208570965,73.53397468444538,1.1339063486242784,0.3098697000231015,100513833.46615586,5757644.710033267,14.197250221131036,85962096.59236938,7.969156861432987
2009-2,93.55480402747892,155.509,0.7515294103072642,0.4330860958676656,-8362.130172448553,2.419211323171128,0.8379855344167224,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,2.0983197870251926,930.954713429153,1439.4260459418942,23.815283093129317,17.931468708085756,73.18244037661965,1.1189272827020729,0.3103890023989645,100727788.5785822,5761754.793380247,14.20092208323751,86018154.83485967,7.966137235078706
2009-3,94.22753392099489,188.291,0.7515801502094874,0.4381030668091561,-8556.283355305572,2.384914975903917,0.7389127280648995,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,2.360273131534959,931.7471605857928,1416.762535686829,23.24429470892,17.2562057701368,72.74204862175905,1.1024862360075076,0.3110459958685592,100941743.69100855,5765864.876727228,14.204593945343982,86074213.07734998,7.963117608724425
2009-4,94.62987546607424,179.374,0.7516308901117106,0.45007711682254,-8805.162211693303,2.3630365952461503,0.72952096312357,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,2.130870815781147,932.5980080357014,1409.7235362244633,22.77809784884081,16.16504614214818,70.40979204685506,1.1027735499161015,0.3119272576549171,101155698.8034349,5769974.960074209,14.208265807450456,86130271.31984028,7.960097982370144
2009-5,95.83143312245386,189.722,0.7516816300139338,0.450431778065969,-8667.302626906909,2.3525692667827225,0.7956723216115966,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,2.1055534748217,933.1625637952538,1414.758442261564,22.639966849256712,14.973426934502529,66.53773779396836,1.187749330336183,0.3129803763659415,101369653.91586123,5774085.04342119,14.21193766955693,86186329.56233057,7.957078356015863
2009-6,96.48536968550874,204.207,0.7517323699161571,0.4443889715056729,-8866.763268778828,2.338774353162325,0.7718384341547616,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,2.181048643506513,933.403279490155,1414.3619623843877,22.66056043244131,14.706271965311682,65.45290188994393,1.2173064738538055,0.3141074679029571,101583609.0282876,5778195.126768171,14.215609531663402,86242387.80482087,7.954058729661583
2009-7,97.78779642667146,227.886,0.7517831098183804,0.4406435988198508,-9104.309037125651,2.304832376935664,0.932626674231297,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,2.0348729637749883,933.0009431738812,1424.3431238702822,23.17808828029715,15.128154821662829,65.01723397485105,1.2571054223223754,0.3152647708753761,101797564.14071392,5782305.210115152,14.219281393769876,86298446.04731117,7.951039103307301
2009-8,98.65020972258633,208.828,0.7518338497206036,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9077579231188913,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,2.2270031407611213,932.0897348551674,1406.5282734751247,23.661701224678268,16.160008288936044,66.8649496931874,1.261838444545289,0.316369350468175,102011519.25314029,5786415.293462132,14.22295325587635,86354504.28980148,7.94801947695302
2009-9,99.7940421186256,215.777,0.7518845896228269,0.4517057294318006,-9303.102943424732,2.248138981864224,0.7590817589264219,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,2.2415987045695074,931.2822397070444,1368.789793472517,23.914143693056456,17.49321038718845,70.68665584776093,1.2267140783723964,0.3176888148521255,102225474.36556664,5790525.376809113,14.226625117982822,86410562.53229177,7.944999850598739
2009-10,100.72608129303582,215.588,0.7519353295250502,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7846990754486614,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,2.1967145723636934,930.5308648481158,1357.8558890699787,24.03159363146487,18.238975015812937,72.9253424090671,1.1823245349318878,0.3186714323450521,102439429.47799297,5794635.460156094,14.230296980089296,86466620.77478206,7.941980224244459
