, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - IDH,Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - Desemprego
2017-9,0.3589351548715466,-6001.730740495946,2.2153275867555475,0.7533115542772516,0.4768271180048898,198845000.019326,7780840.8049112605,0.3776661110809737,1.662168304528025,1002.4265609456924,1303.8346611355832,28.900595775683374,18.387538479910347,56.75338776549346,1.4653245750044832,0.689607907051308,21.232248014579405,72.484,26578295.82018043,1434662.3002580302,6.499771221296339,20220677.471710622,11.08252897141353
2017-10,0.3543133490207389,-6454.887704474953,2.232466347059879,0.8823428859514654,0.4754272182499585,198919019.3113184,7778618.988830204,0.3778377185871009,1.9719108369785692,1001.9812461850672,1272.8909728597678,28.898882954528585,19.11955458656413,59.0294200035873,1.436549379408843,0.6895765349588174,20.784565864160516,71.534,26577062.931597576,1434804.368606083,6.499457474943368,20219458.85188052,11.071215551819806
2017-11,0.3527279000225793,-6243.191420924375,2.263185047283645,1.0041735701218284,0.491301237991556,198993038.60331085,7776397.172749148,0.370057443718766,2.1723389668363238,1001.8752970730268,1214.2421724608862,28.63247162151305,20.00943049835319,62.79398070636652,1.3457429388851347,0.6895451628663267,20.3415149381779,70.32,26575830.04301472,1434946.436954136,6.499143728590396,20218240.232050408,11.059902132226082
2017-12,0.3672792049521601,-5909.074373680363,2.284012403287865,0.6040080269231933,0.5118095547455561,199067057.8953033,7774175.356668091,0.3656492538346034,2.4961316706155983,1001.9611163236044,1170.133889025261,28.30545719310357,20.81380581318912,66.60728451777841,1.256896362198222,0.689513790773836,19.931196272840022,67.364,26574597.154431857,1435088.505302189,6.4988299822374245,20217021.6122203,11.048588712632355
2018-1,0.359951630964679,-7507.112082157307,2.294901938999484,0.4798858738803947,0.5005214276758065,199141077.18729573,7771953.540587035,0.3696733376163027,2.624914684413316,1002.2038408245965,1139.9271295817173,27.932487446795456,21.56294167390841,70.51814585617446,1.150544482334962,0.6894824186813454,19.582831962544574,59.688,26573364.265849,1435230.5736502418,6.498516235884453,20215802.99239019,11.037275293038633
2018-2,0.3566771125869745,-6365.607522997055,2.2942193420185,0.6233855032154204,0.4906301391980058,199211473.5675211,7769100.068513057,0.3678170211034027,2.7835476840417743,1002.5039196287072,1113.729658554256,27.78753770452328,21.96249620405129,72.37751836660549,1.0824784985747915,0.6894103157925677,19.24292954765869,40.259,26555652.77836912,1435628.4370391215,6.496610919438331,20209061.31923105,11.035498068703957
2018-3,0.3495024706940896,-6480.507442523628,2.2880364237022737,0.5637820432387992,0.5232126003004083,199281869.9477465,7766246.596439078,0.3683207687170368,2.8806047116697644,1002.9848056173872,1121.1201147804186,27.600225716381885,21.875519196021774,72.54122386001832,1.0543945195735407,0.68933821290379,18.911582451271958,41.239,26537941.290889237,1436026.300428001,6.494705602992211,20202319.646071903,11.033720844369276
2018-4,0.3395277178203111,-5470.865705466022,2.2785452626718063,0.5678789637407077,0.515815979242938,199352266.32797185,7763393.124365101,0.3659433206644214,2.47257334029284,1003.4859528590488,1125.3708105222945,27.4719630015814,21.5186863920332,71.54733961858715,1.040097021318402,0.6892661100150124,18.58905758905247,45.035,26520229.803409357,1436424.163816881,6.492800286546089,20195577.97291276,11.0319436200346
2018-5,0.3254327923342447,-3673.4527105981465,2.263363965667075,0.5499766318428432,0.52140209156142,199422662.70819715,7760539.652291123,0.3622852915238501,2.064974424871374,1003.8984127963824,1160.3245497615453,27.54660070244432,20.92095547874944,68.96712715556264,1.0592093655971422,0.6891940071262347,18.275693040230493,42.477,26502518.315929472,1436822.0272057604,6.490894970099968,20188836.299753617,11.030166395699924
2018-6,0.3206049076093145,-748.3523814090865,2.2443322394271,0.5006727306113294,0.5229599052733115,199493059.0884225,7757686.180217145,0.3628244523982531,1.8861306259422688,1003.847617785518,1208.1761044460206,27.706866870606103,20.24646950211901,65.92072462208546,1.1219099093243494,0.689121904237457,17.971835553473568,57.619,26484806.828449592,1437219.8905946398,6.488989653653847,20182094.62659448,11.028389171365246
