,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - value,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2009-9,0.7680035671038539,571.514,0.4517057294318006,-9303.102943424732,2.248138981864224,0.7590817589264219,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,0.4526421521852777,1.7542390732293005,888.2741401805371,1098.0273712422024,19.05366251337953,15.32564228734695,80.90115263464092,2.3257819045272,1108.8519407169454,8.006963349439761,318967934.0407166,18526388.081008248,14.39991677739198,282868095.5257085
2009-10,0.7681186067250649,542.293,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7846990754486614,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,0.4557457275960814,1.99669428509829,887.8196231814655,1161.7013353615448,19.62611089957277,15.974774771068867,81.25114734373076,2.2806173419104763,1116.0542699780162,8.003949072311617,319631262.22704655,18528316.28651562,14.405002630790529,283021595.7236695
2009-11,0.768233646346276,522.365,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7700278820075507,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,0.458872141634305,2.093536012503568,887.7572018720864,1242.569633652132,20.293327330269182,16.391401079664785,80.1515848022118,2.235931258665164,1120.0050148291264,8.00093479518347,320294590.4133765,18530244.492022987,14.410088484189076,283175095.92163056
2009-12,0.7683486859674871,436.839,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6898760251950916,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,0.4618612448638233,2.2083617884124784,887.7024927841545,1235.265643670405,20.50237981870467,16.70589927208481,80.6918581834891,2.2382079018700787,1123.6119375533806,7.997920518055325,320957918.5997065,18532172.69753036,14.415174337587624,283328596.11959165
2010-1,0.7684637255886981,503.68,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.7984149643257024,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,0.4646149227873462,2.2641675210008363,888.05039300249,1283.574552132811,20.4861942724608,16.611737315475416,80.28477643649914,2.246616428884243,1127.5532747744896,7.994906240927181,321621246.78603643,18534100.903037727,14.420260190986172,283482096.3175527
2010-2,0.7685709408347917,471.305,0.4638866746250542,-9576.958631035535,2.030863470139216,0.6340516025801447,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,0.4673000154391921,1.963043345307854,888.2074768632507,1235.4046801655602,19.92753490791177,16.123565298009687,80.60524879537391,2.2770894167314943,1134.0345048383167,7.994065056378176,322185769.0689357,18530957.72490617,14.421797486506776,283558993.91709006
2010-3,0.7686781560808852,578.572,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.8247337983618206,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,0.470138428777858,1.6954219438717315,888.8175076443014,1176.5569357681538,18.84724880222353,15.1592103564127,81.10069852682338,2.2940448338702213,1144.750437953255,7.993223871829171,322750291.35183513,18527814.54677461,14.42333478202738,283635891.51662743
2010-4,0.7687853713269788,533.165,0.455830055988475,-10059.393149424635,1.938766300428007,0.7324555326526557,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,0.4717549978266831,1.4481765692548,889.7910427932932,1154.9217459920703,17.93215328066785,14.168227915310544,80.66736081857466,2.3024055630192435,1150.0378662252365,7.992382687280166,323314813.63473445,18524671.368643057,14.424872077547985,283712789.11616474
2010-5,0.7688925865730724,560.354,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8264367733604508,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,0.473345002541564,1.0973207190053658,890.4229213348365,1168.1797376916322,17.22664896079574,12.958547744984893,78.53497015938319,2.329116478750767,1157.170505611959,7.991541502731161,323879335.91763383,18521528.190511502,14.42640937306859,283789686.7157021
2010-6,0.7689998018191658,546.486,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7835509006430283,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,0.4746134962826458,1.0678259522849043,890.9079585890979,1198.002866229388,16.981355346230774,12.308156732545608,76.84734458875266,2.3982776668221324,1160.2854196712174,7.9907003181821565,324443858.20053315,18518385.012379944,14.427946668589197,283866584.3152395
2010-7,0.7691070170652594,601.745,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6956631681759645,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,0.4762871273670442,1.32465464282919,890.4962449759889,1216.5231827783196,17.218874279040822,12.51231305048779,76.69798232622234,2.4875968349704087,1166.7696934191365,7.989859133633152,325008380.48343253,18515241.834248383,14.4294839641098,283943481.9147768
2010-8,0.769214232311353,647.7,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8448625278586105,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,0.4776564398844404,1.5919292882604517,889.5413628249252,1219.829771166904,17.546003776504243,12.848638448703074,76.89687167626519,2.5520078000878565,1173.7344086134883,7.989017949084148,325572902.76633185,18512098.656116832,14.431021259630404,284020379.5143142
2010-9,0.7693214475574465,628.612,0.4761580018141546,-10250.239819329276,1.9300080246741709,0.94745863654434,0.5772035539111675,191578208.50423744,7773742.706413849,0.5845130658367664,0.4789887895989771,2.1671114648207017,888.2909347275029,1195.0414424643884,18.291107459854302,14.07576546167664,79.02297665486739,2.5298459612005284,1177.9565120699983,7.988176764535143,326137425.0492312,18508955.477985278,14.432558555151008,284097277.11385155
