Ano, NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%)
2013,-7983.55089917278,2.328894103495439
2013,-7615.094274633246,2.3426318898784797
2013,-7352.877238643337,2.3634085956939606
2013,-7192.841626570655,2.393575578288626
2013,-6960.548770036087,2.4314858886849344
2013,-6847.000952014708,2.4711648234950228
2013,-6919.499864502943,2.512916253999241
2013,-6561.5305368475965,2.551397636335105
2013,-4496.194346034222,2.592147308610895
2014,-4791.082206933234,2.625524917219098
2014,-3998.777950768382,2.657054580116229
2014,-3922.007671721373,2.6861537304796492
2014,-3994.229497353106,2.7114317753143893
2014,-3354.8084163966905,2.7478086602191683
2014,-3377.357259521218,2.7716833665507616
2014,-3216.635878446735,2.7882412615797647
2014,-2885.616364724399,2.7997457026354353
2014,-2848.963410513361,2.8083151166545033
2014,-3907.107095676229,2.8049085154884135
2014,-3227.51837665533,2.795899184623759
2014,-1917.4317974494295,2.7839918364762393
2015,-2616.8997576320057,2.7629000308796305
2015,-1862.845727482143,2.731373030611945
2015,-1788.6756622467801,2.690513480186384
2015,-1983.0719506525713,2.644962597296267
2015,-1293.4323802746076,2.593045627781998
2015,-1067.0845865121862,2.546115295902478
2015,-977.4173895299177,2.4949460448863254
2015,-1005.6966908148006,2.438647482980156
2015,-1039.1595055245705,2.3755283318433236
2015,-1243.715598453343,2.3072500360953296
2015,-1329.2467358809024,2.2426446030768825
2015,-1107.7866583101536,2.1904251534185515
2016,-3390.8754810096625,2.1483491910676875
2016,-2667.741466194896,2.1171823395135774
2016,-2859.062558346457,2.0931033141951554
2016,-3169.3524539918676,2.0724288159036353
2016,-2883.308840862046,2.0559185514258647
2016,-2975.6400740144,2.0383289573688583
2016,-3206.2407436979347,2.0315258061610644
2016,-3149.7577817642855,2.0305724295198666
2016,-3439.0590351732635,2.0458954239460794
2016,-3965.9673132275466,2.0672746138908056
2016,-2953.9693584836964,2.086506575082691
2016,-2879.5516234189686,2.094478154479812
2017,-5075.622232112225,2.0938758344390687
2017,-4201.060854040392,2.1016508508382414
2017,-4604.7344280517855,2.113289173700002
2017,-5041.93583143556,2.127631534792117
2017,-4656.5904004311315,2.144624778414481
2017,-5068.400972271061,2.162820271284532
2017,-5595.499878102875,2.1827530258841654
2017,-5783.316459502323,2.20699398468004
2017,-6001.730740495946,2.2153275867555475
2017,-6454.887704474953,2.232466347059879
2017,-6243.191420924375,2.263185047283645
2017,-5909.074373680363,2.284012403287865
2018,-7507.112082157307,2.2949019389994834
2018,-6365.607522997055,2.2942193420184998
2018,-6480.507442523628,2.2880364237022737
2018,-5470.865705466022,2.2785452626718063
2018,-3673.4527105981465,2.263363965667075
2018,-748.3523814090865,2.2443322394271
2018,680.1816531338795,2.2152710819180843
2018,2763.9196612324877,2.1824903732600642
2018,4007.3610376201764,2.152733596601701
2018,4174.914508493512,2.1079751919620198
2018,5007.894545671494,2.054724183351228
2018,6196.877278409354,2.0126469916832392
2019,4628.979909058911,1.984242274075146
2019,5916.697911939956,1.962208936108535
2019,5520.432988796697,1.9416080807058884
2019,5055.185180977277,1.9170839767672332
2019,5539.336630210192,1.896664638848358
2019,6184.950447162058,1.8758899421225184
2019,6076.306190415794,1.8584015680579875
2019,6518.883661201889,1.8368841913676575
2019,6534.19896978769,1.8140248078306702
2019,6135.62651489552,1.8103247511179177
2019,6503.475784678591,1.8106892083435917
2019,6710.139809282732,1.7951280687733866
2020,4984.273772200346,1.7837222660281933
2020,6490.848993717848,1.7763512522940854
2020,6329.1128001814195,1.7700682300548114
2020,5438.685662277439,1.7717423485518018
2020,4325.890384068123,1.7713994319371078
2020,1859.7867737551896,1.7727879108405782
2020,-1737.9750802210497,1.7764298633184041
2020,-2734.252564575232,1.7880861649796354
2020,-5200.964446734573,1.8026901607290142
2020,-7513.441905598956,1.8088117232622245
2020,-7678.204281396761,1.8051553259418207
2020,-8108.751196234888,1.8096539206885673
2021,-11364.899736533751,1.814490796790717
2021,-10055.969117056049,1.8165366850094025
2021,-10681.371097239642,1.8162168431502361
2021,-11291.78832348528,1.8089639607511412
2021,-11137.018153234196,1.80696151144469
2021,-11593.707790184802,1.8104369578242074
2021,-12660.940095131144,1.820325672430364
2021,-12926.932236923989,1.8338343276216371
2021,-13554.880376356943,1.8668333099941672
2021,-13970.949207112788,1.9052579733036266
2021,-13709.720991139484,1.9598484472257838
2021,-14102.464839114058,2.021463941896849
2022,-14831.17607630183,2.0926136535932462
2022,-13330.14699745065,2.1844277635435536
2022,-14209.728128730101,2.2909191209159916
2022,-14820.917562720417,2.393589547260097
2022,-14299.31341793481,2.504851734988838
2022,-15042.998767075891,2.620228312602139
2022,-14332.18654083786,2.74650260651564
2022,-13972.094359063758,2.8801775604584408
2022,-15440.751113862269,3.015322282815151
2022,-15328.550397120009,3.1488453873475213
2022,-14559.20536007471,3.282927707022732
2022,-15200.024892445492,3.4520659188815253
2023,-16013.655556326066,3.6268090208854633
2023,-13227.257088774897,3.792774698928213
2023,-14561.369975716963,3.946779556355128
2023,-14874.075929884739,4.115566550502167
