,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2012-5,233087318.16506496,11301903.314350689,18.021230522237907,191869969.55231488
2012-6,233429768.00385734,11292592.740224844,18.023629230994885,191935186.65307817
2012-7,233772217.8426497,11283282.166098997,18.026027939751867,192000403.7538415
2012-8,234114667.68144208,11273971.591973152,18.028426648508848,192065620.8546048
2012-9,234457117.52023447,11264661.017847307,18.030825357265826,192130837.9553681
2012-10,234799567.35902685,11255350.44372146,18.033224066022804,192196055.05613142
2012-11,235142017.19781923,11246039.869595615,18.035622774779785,192261272.15689474
2012-12,235484467.03661162,11236729.295469768,18.038021483536767,192326489.25765803
2013-1,235826916.875404,11227418.721343923,18.040420192293745,192391706.35842136
2013-2,236062439.64961684,11221203.194499478,18.0393894880585,192398827.61432454
2013-3,236297962.42382967,11214987.66765503,18.038358783823256,192405948.87022772
2013-4,236533485.19804254,11208772.140810585,18.037328079588008,192413070.12613088
2013-5,236769007.97225538,11202556.613966137,18.036297375352763,192420191.38203406
2013-6,237004530.74646822,11196341.087121692,18.03526667111752,192427312.63793725
2013-7,237240053.52068108,11190125.560277246,18.034235966882274,192434433.89384043
2013-8,237475576.29489392,11183910.033432798,18.03320526264703,192441555.14974362
2013-9,237711099.06910676,11177694.506588353,18.032174558411786,192448676.4056468
2013-10,237946621.8433196,11171478.979743905,18.03114385417654,192455797.66155
2013-11,238182144.61753243,11165263.45289946,18.030113149941293,192462918.91745314
2013-12,238417667.3917453,11159047.926055012,18.02908244570605,192470040.17335632
2014-1,238653190.16595814,11152832.399210567,18.028051741470804,192477161.4292595
2014-2,238849686.49145877,11146501.328603147,18.028319927015147,192492799.2756635
2014-3,239046182.81695944,11140170.257995727,18.028588112559486,192508437.1220675
2014-4,239242679.14246008,11133839.187388306,18.02885629810383,192524074.9684715
2014-5,239439175.46796072,11127508.116780886,18.029124483648168,192539712.81487548
2014-6,239635671.79346135,11121177.046173466,18.02939266919251,192555350.66127947
2014-7,239832168.118962,11114845.975566044,18.029660854736854,192570988.50768346
2014-8,240028664.44446266,11108514.904958624,18.029929040281193,192586626.35408747
2014-9,240225160.7699633,11102183.834351204,18.030197225825535,192602264.20049146
2014-10,240421657.09546393,11095852.763743784,18.030465411369875,192617902.04689544
2014-11,240618153.4209646,11089521.693136364,18.030733596914217,192633539.89329946
2014-12,240814649.74646524,11083190.622528944,18.031001782458556,192649177.73970345
