,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2020-1,24555194.9088007,1212774.0500106572,9.83805146503406,20418451.229418404
2020-2,24524746.521485563,1213861.5400703037,9.839866002847199,20418288.686674826
2020-3,24494298.134170428,1214949.0301299505,9.841680540660338,20418126.143931247
2020-4,24463849.746855296,1216036.520189597,9.843495078473477,20417963.601187665
2020-5,24433401.35954016,1217124.0102492438,9.845309616286615,20417801.058444086
2020-6,24402952.972225025,1218211.5003088904,9.847124154099754,20417638.515700508
2020-7,24372504.584909894,1219298.9903685371,9.848938691912894,20417475.972956926
2020-8,24342056.197594758,1220386.4804281837,9.850753229726033,20417313.430213347
2020-9,24311607.810279623,1221473.9704878302,9.852567767539172,20417150.88746977
2020-10,24281159.422964487,1222561.460547477,9.85438230535231,20416988.34472619
2020-11,24250711.03564935,1223648.9506071236,9.85619684316545,20416825.80198261
2020-12,24220262.64833422,1224736.4406667703,9.858011380978589,20416663.25923903
2021-1,24189814.261019085,1225823.9307264169,9.859825918791728,20416500.71649545
2021-2,24152471.74985782,1227037.5765808853,9.8617909880983,20415676.64762602
2021-3,24115129.238696553,1228251.222435354,9.86375605740487,20414852.578756593
2021-4,24077786.727535285,1229464.8682898225,9.865721126711442,20414028.509887163
2021-5,24040444.21637402,1230678.5141442912,9.867686196018013,20413204.441017732
2021-6,24003101.705212757,1231892.1599987596,9.869651265324585,20412380.3721483
2021-7,23965759.19405149,1233105.805853228,9.871616334631156,20411556.30327887
2021-8,23928416.68289022,1234319.4517076968,9.87358140393773,20410732.234409444
2021-9,23891074.171728957,1235533.0975621652,9.8755464732443,20409908.165540013
2021-10,23853731.660567693,1236746.743416634,9.877511542550872,20409084.096670583
2021-11,23816389.149406426,1237960.3892711024,9.879476611857443,20408260.027801156
2021-12,23779046.638245158,1239174.035125571,9.881441681164015,20407435.958931725
2022-1,23741704.127083894,1240387.6809800395,9.883406750470586,20406611.890062295
