,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2008-12,65891036.14525064,2813334.499935787,17.131343860604318,52666383.7183403
2009-1,65939673.99142018,2815132.820643816,17.131656699309254,52671583.976748765
2009-2,66102331.52767203,2818986.3657875583,17.145188422730108,52731928.433453135
2009-3,66264989.06392387,2822839.9109313004,17.15872014615096,52792272.8901575
2009-4,66427646.60017572,2826693.456075043,17.17225186957181,52852617.34686187
2009-5,66590304.136427574,2830547.001218785,17.185783592992664,52912961.80356624
2009-6,66752961.67267942,2834400.546362527,17.199315316413518,52973306.2602706
2009-7,66915619.20893127,2838254.0915062698,17.21284703983437,53033650.71697497
2009-8,67078276.74518312,2842107.636650012,17.22637876325522,53093995.173679344
2009-9,67240934.28143497,2845961.181793754,17.239910486676074,53154339.63038371
2009-10,67403591.81768681,2849814.726937496,17.253442210096928,53214684.08708808
2009-11,67566249.35393865,2853668.272081238,17.26697393351778,53275028.54379245
2009-12,67728906.89019051,2857521.817224981,17.28050565693863,53335373.00049681
2010-1,67891564.42644235,2861375.362368723,17.294037380359484,53395717.45720118
2010-2,68055443.5278533,2863532.9259146997,17.30885597668973,53458774.129970014
2010-3,68219322.62926424,2865690.4894606764,17.32367457301998,53521830.80273885
2010-4,68383201.73067518,2867848.053006653,17.338493169350222,53584887.47550769
2010-5,68547080.83208612,2870005.61655263,17.35331176568047,53647944.14827652
2010-6,68710959.93349706,2872163.1800986067,17.368130362010717,53711000.821045354
2010-7,68874839.034908,2874320.743644584,17.382948958340965,53774057.49381419
2010-8,69038718.13631892,2876478.3071905607,17.397767554671212,53837114.16658303
2010-9,69202597.23772986,2878635.8707365375,17.41258615100146,53900170.83935186
2010-10,69366476.3391408,2880793.4342825143,17.427404747331707,53963227.512120694
2010-11,69530355.44055174,2882950.997828491,17.44222334366195,54026284.18488953
2010-12,69694234.54196268,2885108.561374468,17.457041939992198,54089340.85765837
2011-1,69858113.64337362,2887266.1249204446,17.471860536322446,54152397.5304272
2011-2,70002450.51867491,2888804.430703043,17.48183170361441,54200037.802663416
2011-3,70146787.3939762,2890342.7364856414,17.49180287090638,54247678.07489963
2011-4,70291124.26927748,2891881.04226824,17.501774038198345,54295318.34713584
2011-5,70435461.14457877,2893419.348050838,17.511745205490314,54342958.619372055
2011-6,70579798.01988006,2894957.6538334363,17.52171637278228,54390598.89160827
2011-7,70724134.89518133,2896495.9596160348,17.531687540074245,54438239.16384448
2011-8,70868471.77048261,2898034.265398633,17.541658707366214,54485879.436080694
2011-9,71012808.6457839,2899572.5711812316,17.55162987465818,54533519.70831691
2011-10,71157145.52108519,2901110.8769638296,17.561601041950148,54581159.98055312
2011-11,71301482.39638647,2902649.182746428,17.571572209242113,54628800.25278933
2011-12,71445819.27168776,2904187.4885290265,17.581543376534082,54676440.52502555
2012-1,71590156.14698905,2905725.794311625,17.591514543826047,54724080.79726176
2012-2,71719371.27173004,2906263.5570153757,17.599260809378965,54763512.33162105
2012-3,71848586.39647101,2906801.3197191264,17.607007074931882,54802943.865980335
2012-4,71977801.52121198,2907339.082422877,17.6147533404848,54842375.40033962
2012-5,72107016.64595297,2907876.845126628,17.622499606037717,54881806.93469891
2012-6,72236231.77069396,2908414.6078303787,17.630245871590635,54921238.4690582
2012-7,72365446.89543493,2908952.3705341294,17.63799213714355,54960670.003417484
2012-8,72494662.0201759,2909490.13323788,17.645738402696466,55000101.53777677
2012-9,72623877.14491689,2910027.895941631,17.653484668249384,55039533.07213606
2012-10,72753092.26965788,2910565.6586453817,17.6612309338023,55078964.60649535
2012-11,72882307.39439885,2911103.4213491324,17.66897719935522,55118396.140854634
2012-12,73011522.51913983,2911641.184052883,17.676723464908136,55157827.67521392
2013-1,73140737.64388081,2912178.946756634,17.684469730461053,55197259.20957321
2013-2,73254588.92294548,2911012.4362252974,17.691212002006772,55230591.49478708
2013-3,73368440.20201015,2909845.925693961,17.697954273552494,55263923.78000096
2013-4,73482291.48107484,2908679.4151626243,17.704696545098216,55297256.065214835
2013-5,73596142.76013951,2907512.904631288,17.711438816643934,55330588.35042871
2013-6,73709994.03920418,2906346.3940999513,17.718181088189652,55363920.63564259
2013-7,73823845.31826885,2905179.8835686147,17.724923359735374,55397252.92085646
2013-8,73937696.59733352,2904013.3730372777,17.731665631281096,55430585.20607033
2013-9,74051547.87639819,2902846.862505941,17.738407902826815,55463917.491284214
2013-10,74165399.15546286,2901680.3519746047,17.745150174372533,55497249.77649809
2013-11,74279250.43452755,2900513.841443268,17.751892445918255,55530582.06171196
2013-12,74393101.71359222,2899347.3309119316,17.758634717463977,55563914.34692584
2014-1,74506952.99265689,2898180.820380595,17.765376989009695,55597246.63213971
2014-2,74591481.31034292,2895660.9847410545,17.768664448171567,55617461.94706964
2014-3,74676009.62802896,2893141.149101514,17.77195190733344,55637677.261999555
2014-4,74760537.94571498,2890621.3134619733,17.775239366495313,55657892.57692948
2014-5,74845066.26340102,2888101.4778224328,17.778526825657185,55678107.891859405
2014-6,74929594.58108705,2885581.642182892,17.78181428481906,55698323.20678932
2014-7,75014122.89877309,2883061.806543352,17.78510174398093,55718538.52171925
2014-8,75098651.21645913,2880541.9709038115,17.788389203142803,55738753.83664917
2014-9,75183179.53414516,2878022.135264271,17.791676662304678,55758969.15157909
2014-10,75267707.8518312,2875502.2996247304,17.79496412146655,55779184.466509014
2014-11,75352236.16951722,2872982.46398519,17.79825158062842,55799399.78143894
2014-12,75436764.48720326,2870462.628345649,17.801539039790296,55819615.09636886
2015-1,75521292.80488929,2867942.7927061087,17.804826498952167,55839830.41129878
2015-2,75587295.14051457,2865435.57308816,17.808113942734874,55857806.6994751
2015-3,75653297.47613986,2862928.3534702114,17.81140138651758,55875782.98765143
2015-4,75719299.81176513,2860421.1338522625,17.814688830300284,55893759.27582775
2015-5,75785302.14739041,2857913.914234314,17.81797627408299,55911735.56400407
2015-6,75851304.4830157,2855406.6946163652,17.821263717865698,55929711.8521804
2015-7,75917306.81864098,2852899.4749984164,17.8245511616484,55947688.14035672
2015-8,75983309.15426625,2850392.255380468,17.827838605431108,55965664.42853304
2015-9,76049311.48989154,2847885.035762519,17.831126049213815,55983640.71670937
2015-10,76115313.82551682,2845377.8161445707,17.83441349299652,56001617.00488569
2015-11,76181316.1611421,2842870.596526622,17.83770093677923,56019593.29306201
2015-12,76247318.49676739,2840363.3769086734,17.84098838056193,56037569.58123834
2016-1,76313320.83239266,2837856.1572907246,17.84427582434464,56055545.86941466
2016-2,76336438.36341144,2836897.7440623543,17.844036097569383,56059427.12019651
