Ano,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$)
2008-8,270412424.76064646,2457258376.5099177,1468525833.9003513,5381927159.092963,705205020.0964409,840104351.4826288,160892253131.71848,11491551731.725512,200808590425.34668,246521085.55752566,5577497953.325544,5995800613.074652,9607511006.840889,67718731913.06329,71856652221.6533,98071857977.42714,1365162975.4769375,21935363822.847473,23396651381.891663,1.3661741714243536,2.5211829136857298,1.0483552702224062,0.494510542845664,2.9976894439065496,316183433526.5666,1316063987.8549404,0.0,23640765329.71658,73868284846.0698
2008-9,271597180.60711986,2472315568.3235493,1484963552.2127957,5420448490.135062,709377520.2283068,843596441.2478375,162128489325.63232,11557832818.359085,203052118524.93945,245308166.10195416,5622791898.930639,6036798285.092785,9622392944.914188,67546224952.15948,72275084934.66609,99025539680.45146,1381503684.9550407,21996411724.48371,23471101493.39918,1.3628896470496674,2.521191974052609,1.039457827887151,0.500309020534544,2.98464455372942,319988797788.93604,1317851738.3412786,0.0,23833235296.37836,73974912736.79391
2008-10,272758469.9964262,2487005813.469068,1501701155.144346,5458157162.389956,713409075.9049424,846946479.2725203,163396552925.57455,11626597567.83851,205310985250.2259,244319054.77334908,5668418623.595625,6078330820.262362,9637633513.28832,67376268688.20199,72711585295.92079,99998255637.34065,1397607051.1112325,22058033090.585426,23545615891.039967,1.359673974659218,2.5211072758684887,1.0307951433524614,0.5061883723473252,2.9722510807023568,323797969884.8805,1319601298.8335128,0.0,24031175838.292625,74103109732.9954
2008-11,273895072.92127484,2501311354.587088,1518741035.7377763,5495011773.621189,717293597.2917042,850148649.2283213,164696834630.54236,11697890125.820671,207584633899.58557,243561420.3694734,5714371442.351486,6120395657.66806,9653238102.273233,67209017056.23258,73166503290.4703,100990142744.43356,1413458607.2883072,22120217432.073364,23620162834.05039,1.356530693487835,2.520925747438367,1.0223782158797785,0.5121483963964887,2.9605351206999773,327609342871.2011,1321310722.5798821,0.0,24234663086.49776,74253520849.34325
2008-12,275005769.3743749,2515214434.318222,1536085587.035862,5530970921.592302,721024994.5539486,853197134.786885,166029725139.53278,11771754637.962456,209872507771.39804,243042931.68809044,5760643670.229205,6162990236.394558,9669212102.178877,67044623991.29303,73640188903.36755,102001337898.069,1429043886.8290606,22182954259.868275,23694710581.66683,1.3534633427703486,2.5206443170672417,1.0142180447305431,0.5181888907945152,2.949522769596898,331421309804.699,1322978062.828625,0.0,24443773172.032158,74426791100.50642
2009-1,276089339.34843576,2528697295.3030834,1553737202.0813773,5565993204.066841,724597177.8570324,856086119.6198559,167395615151.5429,11848235249.920748,212174050164.04285,242771257.5269634,5807228622.259764,6206111995.526531,9685560903.315197,66883243428.425095,74132992119.66547,103031977994.58585,1444348423.076287,22246233084.89092,23769227393.12566,1.3504754617415884,2.5202599130601118,1.0063256291661955,0.5243096536538862,2.9392401232677354,335232263742.17505,1324601372.8279798,0.0,24658582225.934208,74623565501.15392
2009-2,277144562.8361665,2541742180.182286,1571698273.917097,5600037218.808348,728004057.366312,858809787.3988783,168794895365.5699,11927376107.352434,214488704375.89944,242754066.68385556,5854119613.474146,6249758374.148657,9702289895.992146,66725029302.67053,74645262924.41696,104082199930.32292,1459357749.372782,22310043418.062042,23843681527.663258,1.3475705896363843,2.5197694637219743,0.9987119684481769,0.5305104830870822,2.9297132775871053,339040597740.43066,1326178705.8261857,0.0,24879166379.242294,74844489065.95468
2009-3,278170219.83027655,2554331331.5964417,1589971195.5857968,5633061563.580365,731239543.2471437,861362321.7955968,170227956480.61078,12009221355.9144,216815913705.3475,242999027.95653003,5901309958.903333,6293926811.345612,9719404470.519669,66570135549.07112,75177351302.67496,105152140601.61906,1474057399.06134,22374374770.3024,23918041244.516,1.3447522656895665,2.5191698973578283,0.9913880618379276,0.5367911772065844,2.920968328429624,342844704856.2666,1327708115.0714808,0.0,25105601762.99481,75090206809.57768
2009-4,279165090.3234751,2566446992.1861644,1608558360.1302505,5665024836.146437,734297545.6648846,863737906.4816557,171695189195.66272,12093815141.263533,219155121450.76648,243513810.14275014,5948792973.578308,6338614746.202074,9736910017.207714,66418716102.66861,75729607239.49237,106241936904.81311,1488432905.4847562,22439216652.532738,23992274802.920258,1.3420240291359644,2.5184581422726717,0.9843649085968886,0.5431515341248739,2.9130313716699083,346642978146.48413,1329187653.8121037,0.0,25337964508.23014,75361363746.69191
2009-5,280127954.30847144,2578071404.5920672,1627462160.5932336,5695885634.270105,737171974.7848907,865930725.1286995,173196984209.72278,12181201609.056715,221505770910.536,244306082.04027918,5996561972.530055,6383819617.802721,9754811926.366234,66270924898.504776,76302380719.92213,107351725736.24391,1502469801.9858255,22504558575.673817,24066350462.11241,1.3393894192104079,2.5176311267715024,0.9776535079865001,0.5495913519544315,2.905928503182574,350433810667.8843,1330615375.2962935,0.0,25576330745.98667,75658604891.96632
