,Rio de-01eiro - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio De Janeiro - Consumo de Cimento (t),Rio De Janeiro - Produção de Cimento (t),Rio de Janeiro - IDH,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Rio de Janeiro - Desemprego
2015-1,0.4345135366886724,0.6307582587964796,-2616.8997576320057,2.7629000308796305,1.0536605772588818,0.6247636985731346,196433899.2586442,7833221.463646377,0.5643201849311866,382.9579999999996,216.47216964212544,0.7831799558634182,408835820.86976206,17600070.413292862,21.8696098537506,347361767.54732764,12.471375096502694
2015-2,0.4358731755037228,0.6147595881948112,-1862.845727482143,2.731373030611945,0.9343924255717088,0.6159498907536554,196510910.34709772,7832032.576236982,0.5578499948925274,352.916,213.745084960571,0.7833025823143638,408958496.443969,17584046.494667634,21.86577679396331,347319695.25661165,12.504238746857862
2015-3,0.4372897630226892,0.5970521193441455,-1788.67566224678,2.690513480186384,1.0502918609744532,0.6007740589226123,196587921.43555132,7830843.688827586,0.5538281215537108,352.916,211.11546019821523,0.7834252087653093,409081172.018176,17568022.576042406,21.861943734176027,347277622.9658957,12.53710239721303
2015-4,0.4385884305224934,0.5743851449816068,-1983.071950652572,2.644962597296267,1.1781201483239936,0.5534640279682566,196664932.5240049,7829654.801418191,0.5397104233667973,352.916,208.5626354266087,0.7835478352162548,409203847.59238297,17551998.657417182,21.85811067438874,347235550.6751797,12.569966047568196
2015-5,0.4391558736395275,0.5670526867581346,-1293.4323802746076,2.593045627781998,0.981061434687602,0.5257622894811392,196741943.61245853,7828465.914008795,0.5418486420045491,352.916,205.86032182536675,0.7836704616672004,409326523.1665899,17535974.738791954,21.854277614601457,347193478.3844637,12.602829697923363
2015-6,0.439678928303394,0.5478333106966745,-1067.0845865121862,2.546115295902478,1.0942617674036763,0.4987332763683365,196818954.7009121,7827277.0265994,0.5400657850543165,352.916,203.3834565059707,0.7837930881181461,409449198.7407969,17519950.820166726,21.85044455481417,347151406.0937478,12.635693348278531
2015-7,0.4400640159539293,0.5365873701380962,-977.4173895299176,2.494946044886325,0.8220034096531711,0.4787533394551196,196895965.7893657,7826088.139190003,0.5074060266479925,352.916,200.972362797834,0.7839157145690916,409571874.3150039,17503926.9015415,21.846611495026885,347109333.8030318,12.6685569986337
2015-8,0.4396972973625959,0.5273742665657696,-1005.6966908148006,2.438647482980156,1.1021464711143305,0.471500431076438,196972976.8778193,7824899.251780608,0.5018784506026249,352.916,199.2920625073723,0.7840383410200371,409694549.8892108,17487902.982916273,21.8427784352396,347067261.5123158,12.701420648988869
2015-9,0.43993764772954,0.5254036415611213,-1039.1595055245705,2.375528331843324,0.9550162189144316,0.4754222059965265,197049987.9662729,7823710.364371212,0.4892573432807409,352.916,197.85441120113,0.7841609674709827,409817225.4634178,17471879.064291045,21.838945375452315,347025189.2215999,12.734284299344036
2015-10,0.4400815176036157,0.5220003499305623,-1243.715598453343,2.3072500360953296,1.155559718430175,0.4476002509116798,197126999.05472648,7822521.476961817,0.4890711871355146,352.916,196.0061371117485,0.7842835939219284,409939901.0376248,17455855.145665817,21.835112315665032,346983116.9308839,12.767147949699204
2015-11,0.4401778637986416,0.5097139584731153,-1329.2467358809024,2.2426446030768825,1.0277227053462428,0.4263937170455484,197204010.14318004,7821332.589552421,0.4860587480427329,352.916,194.40904949491292,0.7844062203728739,410062576.6118317,17439831.22704059,21.831279255877742,346941044.6401679,12.800011600054372
2015-12,0.4402290299176387,0.4963303303387326,-1107.7866583101536,2.1904251534185515,1.1001608888830354,0.4149277811632851,197281021.23163363,7820143.702143026,0.4784691485313357,352.916,192.86622171756088,0.7845288468238194,410185252.18603873,17423807.308415364,21.827446196090463,346898972.349452,12.83287525040954
2016-1,0.4400292254970057,0.4804030314721972,-3390.8754810096625,2.1483491910676875,1.101655259880485,0.4151945630880473,197358032.3200872,7818954.81473363,0.4806328467484032,302.33299999999963,191.12852903543924,0.784651473274765,410307927.7602457,17407783.389790136,21.823613136303177,346856900.058736,12.865738900764708
2016-2,0.4395806843430699,0.4582345653383405,-2667.741466194896,2.1171823395135774,0.998076311715314,0.3840895451802815,197432600.1003621,7817259.857969137,0.4731333880353363,251.75,188.9505924408334,0.784618529890483,410435440.860132,17398189.44773239,21.8260912842787,346909638.2882086,12.854312083892369
2016-3,0.4392831144779791,0.4382653615092318,-2859.062558346457,2.0931033141951554,1.050583032622211,0.3756470321164557,197507167.8806371,7815564.901204644,0.4648157232951847,251.75,187.47396875467425,0.7845855865062009,410562953.9600184,17388595.505674645,21.828569432254223,346962376.51768124,12.842885267020026
2016-4,0.4390177244880957,0.4301790666375651,-3169.352453991868,2.072428815903636,1.0407778297845294,0.3820964756373156,197581735.66091204,7813869.944440151,0.455186748552417,251.75,185.7324561089016,0.7845526431219187,410690467.0599047,17379001.5636169,21.831047580229747,347015114.7471539,12.831458450147686
2016-5,0.4387605302475139,0.4219991438558282,-2883.308840862046,2.0559185514258647,1.10315093973575,0.4050692196787397,197656303.44118696,7812174.9876756575,0.4458664086781032,251.75,183.58246402282015,0.7845196997376367,410817980.159791,17369407.621559154,21.83352572820527,347067852.97662646,12.820031633275343
2016-6,0.4389198850452809,0.4276360353070148,-2975.6400740144,2.0383289573688583,1.208212978764004,0.4092639692637682,197730871.2214619,7810480.030911164,0.4613892521739088,251.75,183.97295637383743,0.7844867563533546,410945493.25967735,17359813.679501407,21.836003876180797,347120591.2060991,12.808604816403005
2016-7,0.4390390172632118,0.423174444733437,-3206.2407436979347,2.0315258061610644,1.0298165732903195,0.3812478068283722,197805439.0017368,7808785.074146671,0.4322012065217192,251.75,184.0802240165842,0.7844538129690726,411073006.3595637,17350219.737443663,21.83848202415632,347173329.43557173,12.797177999530664
2016-8,0.4393253979371306,0.406476249562938,-3149.757781764285,2.0305724295198666,1.1556768697997215,0.3986499601282697,197880006.78201172,7807090.117382177,0.4225039481243295,251.75,184.5719321039317,0.7844208695847905,411200519.45945,17340625.79538592,21.84096017213184,347226067.6650444,12.785751182658322
2016-9,0.4396867893442314,0.4024664212978491,-3439.0590351732635,2.04589542394608,1.103150436494035,0.4218717050778418,197954574.5622867,7805395.160617684,0.418532365024963,251.75,184.8779367846956,0.7843879262005085,411328032.5593364,17331031.853328172,21.843438320107364,347278805.894517,12.77432436578598
2016-10,0.4400959846393881,0.405117178149495,-3965.9673132275466,2.0672746138908056,1.1145072852531863,0.4224506608091278,198029142.34256163,7803700.203853191,0.4160254193180028,251.75,185.48386182700395,0.7843549828162264,411455545.65922266,17321437.911270425,21.845916468082887,347331544.1239896,12.76289754891364
2016-11,0.4403788395224497,0.3907469610472366,-2953.9693584836964,2.086506575082691,1.15568180602626,0.3923024529656499,198103710.1228366,7802005.247088698,0.4114160891944031,251.75,185.65061691539768,0.7843220394319442,411583058.759109,17311843.96921268,21.84839461605841,347384282.3534622,12.7514707320413
2016-12,0.4405642531405438,0.3851019690388544,-2879.5516234189686,2.094478154479812,1.0506184491036612,0.377390938464421,198178277.90311152,7800310.290324205,0.4077513114353103,224.3525,186.0900862250437,0.7842890960476622,411710571.8589953,17302250.027154937,21.850872764033934,347437020.58293486,12.74004391516896
2017-1,0.4405136433875992,0.3803888051781477,-5075.622232112225,2.0938758344390687,0.7810959396630986,0.3569248836113066,198252845.68338645,7798615.333559711,0.4075350767989002,196.955,186.7918775101751,0.7842561526633801,411838084.9588817,17292656.08509719,21.853350912009457,347489758.8124075,12.72861709829662
2017-2,0.4405014006671692,0.3762996326553245,-4201.060854040392,2.101650850838241,0.8250449919080073,0.3681934792243305,198326864.97537887,7796393.517478655,0.3978047684696698,175.917,187.38685114013524,0.7842050629108299,411868364.0867885,17293871.524619717,21.85622778059686,347539308.1663327,12.71599286405069
2017-3,0.4406652419970354,0.3800045315218657,-4604.7344280517855,2.113289173700002,0.8524307741146059,0.3837494708257729,198400884.26737133,7794171.701397599,0.3875997638487952,208.629,188.5112137152284,0.7841539731582798,411898643.21469545,17295086.96414224,21.859104649184264,347588857.5202579,12.70336862980476
2017-4,0.4405300476903894,0.3821056011581457,-5041.93583143556,2.127631534792117,0.7995101208234832,0.4054428465788985,198474903.55936372,7791949.885316542,0.3886971443037969,181.933,189.54145358292251,0.7841028834057296,411928922.3426023,17296302.403664768,21.861981517771667,347638406.8741831,12.690744395558832
2017-5,0.440263550081571,0.3779774472025649,-4656.590400431132,2.144624778414481,0.6463345560938362,0.435891393897483,198548922.8513562,7789728.069235486,0.3866356488127153,187.947,191.91310293305145,0.7840517936531795,411959201.4705092,17297517.843187295,21.86485838635907,347687956.2281083,12.678120161312904
