,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2006-2,0.8006951342633517,0.3185647676419376,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,8.072390708249547,136.733,20.33644149436577,137716201.52546886,6775866.730391135,19.95512117501349,124232646.20255215
2006-3,0.8007628087919939,0.3184517115863024,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,8.070332593563982,166.126,20.65022344271628,137845456.8408587,6779992.101356268,19.95987633563277,124272652.07583812
2006-4,0.8008304833206361,0.3183294593659899,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,8.068274478878417,137.965,21.07836305510953,137974712.15624857,6784117.4723214,19.96463149625206,124312657.94912411
2006-5,0.8008981578492782,0.3186113651340703,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,8.066216364192853,163.144,21.44788102693937,138103967.47163844,6788242.843286532,19.969386656871343,124352663.82241008
2006-6,0.8009658323779204,0.3188946784317807,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,8.064158249507287,151.967,21.83586302905544,138233222.78702828,6792368.214251664,19.97414181749063,124392669.69569606
2006-7,0.8010335069065626,0.3193889542737888,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,8.062100134821723,158.404,22.354687715374077,138362478.10241815,6796493.585216796,19.978896978109915,124432675.56898203
2006-8,0.8011011814352048,0.31969173366407,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,8.060042020136157,171.917,22.84496207493034,138491733.41780803,6800618.9561819285,19.9836521387292,124472681.442268
2006-9,0.801168855963847,0.3200046240063349,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,8.057983905450591,161.126,23.23183294275213,138620988.73319787,6804744.32714706,19.988407299348488,124512687.31555398
2006-10,0.8012365304924891,0.3203293029406501,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,8.055925790765027,170.225,23.635993692230148,138750244.04858774,6808869.698112192,19.99316245996777,124552693.18883996
2006-11,0.8013042050211313,0.3208716022810205,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,8.053867676079461,158.829,23.80725976312609,138879499.3639776,6812995.069077324,19.997917620587057,124592699.06212594
2006-12,0.8013718795497735,0.3218456718882736,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,8.051809561393897,139.348,24.178158272290425,139008754.67936745,6817120.440042457,20.002672781206343,124632704.9354119
2007-1,0.8014395540784157,0.3226454086748098,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,8.049751446708331,155.54,24.64952920000913,139138009.99475732,6821245.811007588,20.00742794182563,124672710.80869788
2007-2,0.8015016711179109,0.3232684366219577,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,8.047348387548142,143.95,25.03281731867253,139246864.59663087,6820432.075686,20.01039204839871,124697699.60119602
2007-3,0.8015637881574061,0.3239120909385673,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,8.044945328387955,162.835,25.669497984786588,139355719.19850442,6819618.340364412,20.013356154971795,124722688.39369418
2007-4,0.8016259051969014,0.3243735698339246,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,8.042542269227766,151.579,26.12752139089636,139464573.80037796,6818804.6050428245,20.01632026154488,124747677.18619232
2007-5,0.8016880222363966,0.3246457609582663,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,8.040139210067577,154.226,26.72697741486207,139573428.40225154,6817990.869721238,20.01928436811796,124772665.97869048
2007-6,0.8017501392758918,0.3247254789560954,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,8.03773615090739,171.583,27.226895708733828,139682283.0041251,6817177.13439965,20.02224847469104,124797654.77118862
2007-7,0.8018122563153871,0.3248135463310345,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,8.035333091747201,173.115,27.500131024789837,139791137.60599864,6816363.399078062,20.02521258126412,124822643.56368676
2007-8,0.8018743733548823,0.3247024610976792,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,8.032930032587013,197.102,27.677451299950874,139899992.20787218,6815549.663756474,20.02817668783721,124847632.35618491
2007-9,0.8019364903943775,0.3245927190740896,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,8.030526973426825,183.864,27.72117959599182,140008846.80974573,6814735.928434886,20.031140794410287,124872621.14868309
2007-10,0.8019986074338727,0.3244848129251396,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,8.028123914266637,211.654,28.131968860963905,140117701.4116193,6813922.193113299,20.03410490098337,124897609.9411812
2007-11,0.802060724473368,0.3245833127875429,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,8.025720855106448,208.967,28.21188266862749,140226556.01349285,6813108.457791711,20.03706900755645,124922598.73367935
2007-12,0.8021228415128632,0.3248928668760701,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,8.02331779594626,167.424,28.197726530671808,140335410.6153664,6812294.722470123,20.040033114129532,124947587.52617753
2008-1,0.8021849585523584,0.3250100405745602,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,8.020914736786072,188.733,28.274295878801,140444265.21723995,6811480.987148535,20.042997220702617,124972576.31867568
2008-2,0.802241711019497,0.3251353954462032,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,8.023333147293442,187.477,28.41307227319688,140524068.03223917,6814089.959578094,20.04308489080723,124981134.5634266
2008-3,0.8022984634866357,0.3252694898911882,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,8.025751557800815,197.396,28.76451371766281,140603870.84723842,6816698.932007652,20.04317256091184,124989692.80817752
2008-4,0.8023552159537743,0.325408628223941,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,8.028169968308186,216.309,29.001580866131118,140683673.66223764,6819307.90443721,20.04326023101645,124998251.05292846
2008-5,0.8024119684209131,0.3257571826904298,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,8.030588378815558,226.47,29.12962612758053,140763476.47723687,6821916.876866768,20.043347901121063,125006809.2976794
2008-6,0.8024687208880518,0.325698934069131,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,8.033006789322929,224.222,29.36239643575688,140843279.29223612,6824525.849296327,20.04343557122567,125015367.54243033
2008-7,0.8025254733551904,0.3256337147964239,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,8.0354251998303,262.822,29.64803997466916,140923082.10723534,6827134.821725884,20.043523241330284,125023925.78718126
2008-8,0.8025822258223291,0.3255570772560694,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,8.037843610337672,248.86,29.79786349016497,141002884.92223457,6829743.794155443,20.043610911434897,125032484.03193218
2008-9,0.8026389782894677,0.3256767781457021,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,8.040262020845043,254.899,29.99622882516976,141082687.73723382,6832352.766585002,20.043698581539505,125041042.2766831
2008-10,0.8026957307566065,0.3262006996587503,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,8.042680431352416,249.48,30.287502210525226,141162490.55223304,6834961.739014559,20.04378625164412,125049600.52143404
2008-11,0.8027524832237452,0.326728687346875,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,8.045098841859787,190.635,30.532390139470024,141242293.36723226,6837570.711444118,20.04387392174873,125058158.76618496
2008-12,0.8028092356908838,0.3272563829604638,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,8.04751725236716,206.284,31.03418871857908,141322096.18223152,6840179.683873676,20.04396159185334,125066717.0109359
2009-1,0.8028659881580225,0.3277749689007125,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,8.04993566287453,210.285,31.328924033809468,141401898.99723074,6842788.656303234,20.04404926195795,125075275.25568683
2009-2,0.802917568969595,0.3280837354359351,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,8.046919419603302,199.963,31.591809642662533,141708539.78069472,6847351.954693767,20.0481159403574,125151806.7045594
