,Rio Grande do Sul - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Sul - Produção de Cimento (t),Rio Grande Do Sul - Consumo de Cimento (t),Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado,Rio Grande do Sul - value,Rio Grande do Sul - IDH
2014-6,7.5321631947498595,0.6262539734123189,-3377.357259521218,2.7716833665507616,0.8204530479465566,0.5920559285981742,195864454.74294543,7836675.958392558,0.5716034891312047,155.17502998149615,297.166,243059535.1482209,9175428.45495007,18.721624297807686,203054770.3440364,0.5853295366266492,0.7836484638023758
2014-7,7.553852200451961,0.6313860080878928,-3216.635878446735,2.7882412615797647,0.8622866555215983,0.5985422951333923,195945803.95947385,7836182.459143104,0.5673668679938052,154.15407737714696,297.166,243235498.51373556,9170444.997101154,18.72044481475594,203047745.73611343,0.5857222436877543,0.783679661546016
2014-8,7.575541206154062,0.6429578345522896,-2885.616364724399,2.799745702635436,0.9441698267557116,0.620784457599235,196027153.17600223,7835688.959893649,0.5571115199932906,153.12821113348215,297.166,243411461.87925017,9165461.539252238,18.719265331704197,203040721.1281905,0.5862821025497885,0.783710859289656
2014-9,7.597230211856162,0.6425793355672005,-2848.963410513361,2.808315116654504,0.859855655660007,0.6235028742448315,196108502.39253065,7835195.460644195,0.5613727046660177,152.09527301408195,297.166,243587425.2447648,9160478.081403324,18.718085848652446,203033696.52026752,0.5868076839124418,0.7837420570332961
2014-10,7.618919217558263,0.6392578161601571,-3907.107095676229,2.804908515488413,0.9527685333529272,0.6297128451395438,196189851.609059,7834701.96139474,0.561882595374384,151.06035960250597,297.166,243763388.61027944,9155494.623554409,18.7169063656007,203026671.91234452,0.5877098560232215,0.7837732547769363
2014-11,7.640608223260364,0.6373515694579686,-3227.51837665533,2.795899184623759,0.903484686433327,0.6229666635258632,196271200.8255874,7834208.462145286,0.5609901993899514,150.01494815975025,297.166,243939351.97579408,9150511.165705493,18.71572688254895,203019647.3044216,0.5887997208814482,0.7838044525205763
2014-12,7.662297228962466,0.6360469982134822,-1917.4317974494293,2.78399183647624,0.8145209650102684,0.620227626267029,196352550.0421158,7833714.962895832,0.5583468086194056,148.95697390003713,297.166,244115315.3413087,9145527.70785658,18.714547399497203,203012622.6964986,0.5898763404073666,0.7838356502642164
2015-1,7.683986234664566,0.6307582587964796,-2616.8997576320057,2.7629000308796305,1.0536605772588818,0.6247636985731346,196433899.2586442,7833221.463646377,0.5643201849311866,147.89886265113444,283.66600000000017,244291278.70682332,9140544.250007665,18.713367916445456,203005598.08857563,0.5909387376934248,0.7838668480078566
2015-2,7.683177319802192,0.6147595881948112,-1862.845727482143,2.731373030611945,0.9343924255717088,0.6159498907536554,196510910.34709772,7832032.576236982,0.5578499948925274,146.56554774302717,270.166,244392211.8148493,9136981.501960693,18.711755495740125,202989481.82035035,0.5919858235651121,0.7839477605809784
2015-3,7.68236840493982,0.5970521193441455,-1788.67566224678,2.690513480186384,1.0502918609744532,0.6007740589226123,196587921.43555132,7830843.688827586,0.5538281215537108,145.7087687575024,270.166,244493144.92287523,9133418.75391372,18.71014307503479,202973365.55212504,0.5928167160129373,0.7840286731541002
2015-4,7.681559490077447,0.5743851449816068,-1983.071950652572,2.644962597296267,1.1781201483239936,0.5534640279682566,196664932.5240049,7829654.801418191,0.5397104233667973,144.44984606862732,270.166,244594078.0309012,9129856.005866751,18.708530654329454,202957249.28389972,0.5925933446019261,0.7841095857272219
2015-5,7.6807505752150735,0.5670526867581346,-1293.4323802746076,2.593045627781998,0.981061434687602,0.5257622894811392,196741943.61245853,7828465.914008795,0.5418486420045491,143.35899848934105,270.166,244695011.1389271,9126293.25781978,18.706918233624123,202941133.01567444,0.5925176534808293,0.7841904983003437
2015-6,7.6799416603527,0.5478333106966745,-1067.0845865121862,2.546115295902478,1.0942617674036763,0.4987332763683365,196818954.7009121,7827277.0265994,0.5400657850543165,142.05399487899845,270.166,244795944.24695304,9122730.50977281,18.70530581291879,202925016.7474492,0.5923920246184945,0.7842714108734655
2015-7,7.679132745490327,0.5365873701380962,-977.4173895299176,2.494946044886325,0.8220034096531711,0.4787533394551196,196895965.7893657,7826088.139190003,0.5074060266479925,141.03967139692992,270.166,244896877.35497895,9119167.76172584,18.70369339221346,202908900.47922385,0.5922105505187069,0.7843523234465872
2015-8,7.678323830627955,0.5273742665657696,-1005.6966908148006,2.438647482980156,1.1021464711143305,0.471500431076438,196972976.8778193,7824899.251780608,0.5018784506026249,140.3851721369942,270.166,244997810.4630049,9115605.013678867,18.702080971508124,202892784.21099856,0.5919712714431317,0.784433236019709
2015-9,7.677514915765581,0.5254036415611213,-1039.1595055245705,2.375528331843324,0.9550162189144316,0.4754222059965265,197049987.9662729,7823710.364371212,0.4892573432807409,139.4620658636512,270.166,245098743.57103083,9112042.265631896,18.700468550802796,202876667.94277328,0.5920844111292073,0.7845141485928309
2015-10,7.676706000903207,0.5220003499305623,-1243.715598453343,2.3072500360953296,1.155559718430175,0.4476002509116798,197126999.05472648,7822521.476961817,0.4890711871355146,138.3147781525914,270.166,245199676.6790568,9108479.517584926,18.698856130097457,202860551.674548,0.5923522171003995,0.7845950611659527
2015-11,7.675897086040835,0.5097139584731153,-1329.2467358809024,2.2426446030768825,1.0277227053462428,0.4263937170455484,197204010.14318004,7821332.589552421,0.4860587480427329,137.35773280434114,270.166,245300609.7870827,9104916.769537956,18.69724370939213,202844435.4063227,0.5923646824723069,0.7846759737390745
2015-12,7.675088171178462,0.4963303303387326,-1107.7866583101536,2.1904251534185515,1.1001608888830354,0.4149277811632851,197281021.23163363,7820143.702143026,0.4784691485313357,136.21105976999715,270.166,245401542.89510864,9101354.021490984,18.69563128868679,202828319.13809735,0.5923366001831071,0.7847568863121962
