,Roraima - IDH,Roraima - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - Desemprego,Roraima - value
2008-11,0.7364948701921539,6.646,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,6602352.655832905,344921.0898070406,12.22962169560011,5480926.898775012,8.04111558627793,0.3155698607969384
2008-12,0.7364989280708937,8.306,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,6607004.667381881,345128.2875473167,12.229042015588524,5481616.258279606,8.043718190496502,0.3167028846766886
2009-1,0.7365029859496336,3.789,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198,8.046320794715072,0.317815401802733
2009-2,0.7365003081248539,4.322,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,6626327.936072345,345637.735174468,12.227402856775551,5486654.093466044,8.04322978112268,0.3189049649071407
2009-3,0.7364976303000742,6.586,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,6640999.193213834,345939.9850613433,12.22634337797417,5491002.5691478895,8.040138767530287,0.3197607401429764
2009-4,0.7364949524752944,3.765,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,6655670.450355324,346242.23494821857,12.225283899172789,5495351.044829736,8.037047753937895,0.320371499985021
2009-5,0.7364922746505147,3.991,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,6670341.7074968135,346544.4848350938,12.224224420371405,5499699.520511582,8.033956740345504,0.3213503542338706
2009-6,0.736489596825735,3.566,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,6685012.964638303,346846.734721969,12.22316494157002,5504047.996193427,8.030865726753111,0.3222943516137037
2009-7,0.7364869190009553,7.338,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,6699684.2217797935,347148.9846088443,12.222105462768637,5508396.471875273,8.027774713160719,0.3232004815383122
2009-8,0.7364842411761756,6.946,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9676854539357764,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,6714355.478921283,347451.23449571955,12.221045983967256,5512744.947557119,8.024683699568326,0.324065589355026
