, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraná - Desemprego,Paraná - value,Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t)
2011-9,0.4606035369977562,-9679.164240091171,2.075344728788324,1.051632929733649,0.5256001504469264,192835273.4173943,7805630.84294439,0.6015952884327453,6.986266005749543,0.3986826101971525,471.7934404039802,230163720.13579157,11354640.21487454,17.9968509247251,191284854.0265243,0.7843223114564617,367.288
2011-10,0.4616014514378777,-9537.77691961498,2.077328519541877,0.8454056053728413,0.5230163290600557,192941005.93752408,7808006.978210783,0.6045280531318781,6.85782348681114,0.4005027080179187,473.8723802157389,230552169.8043175,11350766.563869422,18.000547115346322,191365915.80720863,0.7843388867909995,365.427
2011-11,0.4639560877440755,-9968.453886702957,2.074663694821419,0.9095885485065074,0.5203108881755449,193046738.45765385,7810383.113477174,0.6075073462033619,6.729380967872736,0.402315382889062,475.2900145683198,230940619.47284347,11346892.912864303,18.00424330596754,191446977.58789292,0.7843554621255373,367.294
2011-12,0.4721630104203435,-9986.589161982563,2.076644486808949,0.9509558872325296,0.5250917546367961,193152470.9777836,7812759.248743567,0.5951869340064411,6.600938448934333,0.4041561243316539,476.26520001334256,231329069.14136943,11343019.26185919,18.007939496588765,191528039.3685773,0.784372037460075,341.962
2012-1,0.4733415062904513,-10404.150759011012,2.0905714352596823,0.7067068004037954,0.5361604483491258,193258203.49791336,7815135.384009959,0.6110671295983301,6.4724959299959295,0.4059655582663418,476.05922215901415,231717518.80989543,11339145.610854072,18.01163568720999,191609101.1492616,0.7843886127946128,357.265
2012-2,0.476080947409229,-9928.241624071832,2.1011962123086314,0.7404291834197307,0.547043585265198,193353913.43027985,7816645.273799296,0.5998092162889704,6.51743783864472,0.4080917962687877,477.8549983126824,232059968.6486878,11329835.036728228,18.014034395966966,191674318.2500249,0.7844746448279087,353.838
2012-3,0.4859216468538039,-9880.218215766452,2.117529533577395,0.8195461604428426,0.5760461169470958,193449623.3626464,7818155.163588634,0.5994875672440965,6.562379747293511,0.4105174215016838,478.79761590269646,232402418.4874802,11320524.46260238,18.016433104723948,191739535.35078824,0.7845606768612047,398.92
2012-4,0.495982472496991,-10098.092464217463,2.1289644149802243,0.6810678508344918,0.5748028697718967,193545333.2950128,7819665.053377971,0.6070633278923643,6.607321655942302,0.4129497970555466,479.5088990650176,232744868.32627255,11311213.888476536,18.01883181348093,191804752.4515516,0.7846467088945006,349.449
2012-5,0.4931284401808382,-9610.545103294866,2.157948049971086,0.5439273938364722,0.5455839993066408,193641043.2273793,7821174.943167307,0.6337829017520761,6.652263564591093,0.4153721991337868,480.9239208080621,233087318.16506496,11301903.314350689,18.021230522237907,191869969.55231488,0.7847327409277965,403.551
2012-6,0.4947842743091953,-9553.334932170872,2.190346510129612,0.5485345391500699,0.5142239683724931,193736753.15974572,7822684.832956645,0.6091979248637831,6.697205473239883,0.4175737350180593,481.440814849272,233429768.0038573,11292592.740224844,18.023629230994885,191935186.65307817,0.7848187729610925,319.23
2012-7,0.4943665113324502,-9513.302050841186,2.214523649851895,0.5506897392060969,0.4886763343071003,193832463.09211224,7824194.722745982,0.6098789200190179,6.742147381888674,0.4200308844347634,482.68029101083465,233772217.8426497,11283282.166098995,18.026027939751867,192000403.7538415,0.7849048049943883,394.116
2012-8,0.4915042848216534,-9248.591121065274,2.219844415701115,0.6454078839920825,0.4575820419650054,193928173.0244788,7825704.612535319,0.5983134710296607,6.787089290537464,0.422479002304847,483.1797288528861,234114667.68144208,11273971.591973152,18.028426648508848,192065620.8546048,0.7849908370276842,444.552
2012-9,0.495333786512332,-8953.98283753283,2.23523857379288,0.7409720966684825,0.4292143004039244,194023882.9568452,7827214.502324657,0.5963880599560772,6.832031199186255,0.424917439100282,483.62489222982936,234457117.52023447,11264661.017847309,18.030825357265822,192130837.9553681,0.7850768690609802,379.035
2012-10,0.4926639045673969,-8835.504327700251,2.2363657278565263,0.6128687011734038,0.420275744209899,194119592.8892117,7828724.392113993,0.5956099986115735,6.876973107835045,0.4273471561798805,484.2617012267351,234799567.35902685,11255350.44372146,18.033224066022804,192196055.05613145,0.7851629010942761,396.572
