,Rio Grande Do Norte - Consumo de Cimento (t),Rio Grande do Norte - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Norte - Produção de Cimento (t),Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado,Rio Grande do Norte - Desemprego
2012-2,71.789,0.7168019271417883,0.476080947409229,-9928.241624071832,2.1011962123086314,0.7404291834197307,0.547043585265198,193353913.43027985,7816645.273799296,0.5998092162889704,94.20160878025624,36092891.463986464,2081417.431956838,9.259211802377845,29768641.06275722,12.647406096761785
2012-3,85.293,0.7169522852600074,0.4859216468538039,-9880.218215766452,2.117529533577395,0.8195461604428426,0.5760461169470958,193449623.3626464,7818155.163588634,0.5994875672440965,96.1323381353314,36137820.84420633,2079621.3938802443,9.258664164492624,29773479.763426624,12.669394102355474
2012-4,70.589,0.7171026433782267,0.495982472496991,-10098.092464217463,2.1289644149802243,0.6810678508344918,0.5748028697718967,193545333.2950128,7819665.053377971,0.6070633278923643,97.79456403091024,36182750.2244262,2077825.3558036503,9.258116526607404,29778318.464096025,12.691382107949163
2012-5,77.63,0.7172530014964459,0.4931284401808382,-9610.545103294866,2.157948049971086,0.5439273938364722,0.5455839993066408,193641043.2273793,7821174.943167307,0.6337829017520761,99.57230411991148,36227679.604646064,2076029.3177270568,9.257568888722185,29783157.164765425,12.713370113542856
2012-6,71.426,0.7174033596146652,0.4947842743091953,-9553.334932170872,2.190346510129612,0.5485345391500699,0.5142239683724931,193736753.15974572,7822684.832956645,0.6091979248637831,101.18117712779936,36272608.984865926,2074233.279650463,9.257021250836964,29787995.86543483,12.735358119136544
2012-7,83.801,0.7175537177328843,0.4943665113324502,-9513.302050841186,2.214523649851895,0.5506897392060969,0.4886763343071003,193832463.09211224,7824194.722745982,0.6098789200190179,102.65177661489456,36317538.3650858,2072437.2415738693,9.256473612951744,29792834.56610423,12.757346124730232
2012-8,95.78,0.7177040758511036,0.4915042848216534,-9248.591121065274,2.219844415701115,0.6454078839920825,0.4575820419650054,193928173.0244788,7825704.612535319,0.5983134710296607,104.03521428148966,36362467.74530566,2070641.203497276,9.255925975066525,29797673.26677363,12.779334130323925
2012-9,80.156,0.7178544339693229,0.495333786512332,-8953.98283753283,2.23523857379288,0.7409720966684825,0.4292143004039244,194023882.9568452,7827214.502324657,0.5963880599560772,105.2107279613407,36407397.12552552,2068845.165420682,9.255378337181304,29802511.967443038,12.801322135917614
2012-10,85.023,0.7180047920875421,0.4926639045673969,-8835.504327700251,2.2363657278565263,0.6128687011734038,0.420275744209899,194119592.8892117,7828724.392113993,0.5956099986115735,105.6849710959618,36452326.50574539,2067049.127344088,9.254830699296086,29807350.668112434,12.823310141511303
2012-11,85.182,0.7181551502057614,0.4912755604377996,-8581.940757744464,2.249359243852222,0.8852303174292789,0.44717948920874,194215302.8215782,7830234.28190333,0.6005163471467005,106.4961542826475,36497255.88596525,2065253.0892674944,9.254283061410868,29812189.368781835,12.845298147104996
2012-12,77.938,0.7183055083239805,0.4951952296466009,-8544.01174850321,2.257490310710041,0.6836336087568325,0.4479600832678483,194311012.75394467,7831744.1716926675,0.5956513693421339,107.06111022053108,36542185.26618512,2063457.0511909008,9.253735423525647,29817028.06945124,12.867286152698686
2013-1,83.158,0.7184558664421998,0.5046931182782365,-8401.94723497529,2.2677230439962424,0.6001335188895731,0.4466402817276171,194406722.6863112,7833254.061482005,0.6113594968254873,107.9853434935406,36587114.64640498,2061661.0131143068,9.253187785640428,29821866.77012064,12.889274158292377
2013-2,72.593,0.7185145877369373,0.5124255618774355,-7683.858924014924,2.2834910014644234,0.7074393944091001,0.44956565047477,194494304.85081053,7833744.844245157,0.6049217884945463,108.77793886877475,36620397.05372032,2058587.387279576,9.252347292174978,29821829.156488422,12.919442963495698
2013-3,80.256,0.7185733090316748,0.5277338631085374,-7874.357530363,2.30250674180213,0.7231039597573724,0.4689655756860415,194581887.01530987,7834235.627008309,0.6055953327124688,109.89406837945792,36653679.46103565,2055513.761444845,9.251506798709528,29821791.542856213,12.949611768699018
2013-4,79.004,0.7186320303264123,0.5336755979317418,-7983.55089917278,2.328894103495439,0.7189617973484183,0.4808492138370067,194669469.17980924,7834726.409771461,0.6049377101169569,110.60803169992916,36686961.86835099,2052440.135610114,9.250666305244078,29821753.929224,12.97978057390234
2013-5,73.572,0.7186907516211498,0.5388021137696795,-7615.094274633246,2.34263188987848,0.7142694802829325,0.4901839320084706,194757051.34430856,7835217.192534613,0.6092086325659531,111.1847518457728,36720244.27566633,2049366.5097753832,9.249825811778626,29821716.315591782,13.009949379105665
2013-6,74.461,0.7187494729158873,0.5488843980670126,-7352.877238643337,2.363408595693961,0.6063186036765393,0.4977501851159618,194844633.508808,7835707.975297765,0.6003939469641899,111.60005075236135,36753526.68298166,2046292.883940652,9.248985318313176,29821678.701959573,13.040118184308986
2013-7,80.092,0.7188081942106248,0.5580294451821031,-7192.841626570655,2.393575578288626,0.6146829914853935,0.4941458500105189,194932215.6733073,7836198.758060917,0.588257252871006,111.97012594311975,36786809.090297,2043219.258105921,9.248144824847726,29821641.08832736,13.070286989512308
2013-8,85.507,0.7188669155053623,0.5639348917935356,-6960.548770036087,2.4314858886849344,0.7815049760427922,0.4993334599921049,195019797.83780667,7836689.54082407,0.590312709374934,112.1182636844022,36820091.49761234,2040145.6322711904,9.247304331382276,29821603.474695142,13.100455794715629
2013-9,83.962,0.7189256368000998,0.5721649314585118,-6847.000952014708,2.4711648234950228,0.804220606343285,0.518698005154016,195107380.00230604,7837180.323587221,0.5883789943968316,112.30297589393878,36853373.90492768,2037072.0064364595,9.246463837916826,29821565.861062933,13.130624599918953
2013-10,87.21,0.7189843580948373,0.584033531345466,-6919.499864502943,2.512916253999241,0.5493947941730588,0.5267204103521198,195194962.1668054,7837671.106350373,0.586680702681813,112.28617524119144,36886656.312243015,2033998.3806017288,9.245623344451374,29821528.24743072,13.160793405122272
2013-11,79.636,0.7190430793895748,0.5955117370578658,-6561.5305368475965,2.551397636335105,0.492337346751902,0.5382245752764477,195282544.3313048,7838161.889113526,0.5879491241011995,112.16298530356929,36919938.71955835,2030924.7547669976,9.244782850985924,29821490.633798502,13.190962210325594
2013-12,74.719,0.7191018006843123,0.6067679747989635,-4496.194346034222,2.592147308610895,0.6011934181917633,0.5418554668499356,195370126.4958041,7838652.671876677,0.5824479358950329,111.9572273484242,36953221.12687369,2027851.1289322667,9.243942357520474,29821453.020166293,13.221131015528917
2014-1,87.066,0.7191605219790498,0.6166578720311803,-4791.082206933234,2.625524917219098,0.8458265355767571,0.559340440568571,195457708.66030347,7839143.45463983,0.5881063236886775,111.94523218934778,36986503.53418902,2024777.503097536,9.243101864055024,29821415.40653408,13.25129982073224
2014-2,75.154,0.7191338589372376,0.6267255529646644,-3998.777950768382,2.657054580116229,0.8449975925961759,0.5677726853077433,195539057.87683183,7838649.955390375,0.5806989603027664,111.5590986036861,37012648.2460222,2022348.3297144407,9.242725033568307,29821792.327419806,13.272181705468196
2014-3,83.86850000000004,0.7191071958954255,0.6244938102208978,-3922.007671721373,2.686153730479649,0.9519917340746724,0.5596242995943259,195620407.09336025,7838156.45614092,0.586635485690803,111.45756049512636,37038792.95785537,2019919.1563313452,9.24234820308159,29822169.248305533,13.293063590204158
2014-4,92.583,0.7190805328536133,0.6209952829426753,-3994.229497353106,2.7114317753143893,0.7872261937543699,0.5364320176075347,195701756.30988863,7837662.956891467,0.591883402393797,111.31454754037,37064937.66968855,2017489.98294825,9.241971372594875,29822546.169191256,13.313945474940116
2014-5,92.583,0.7190538698118012,0.6257914627476894,-3354.8084163966905,2.7478086602191683,0.7628605212524775,0.5495264900123437,195783105.52641705,7837169.457642012,0.5752470773836221,111.13469297642308,37091082.38152173,2015060.809565155,9.241594542108158,29822923.090076983,13.334827359676074
2014-6,92.583,0.719027206769989,0.6262539734123189,-3377.357259521218,2.7716833665507616,0.8204530479465566,0.5920559285981742,195864454.74294543,7836675.958392558,0.5716034891312047,110.91488750119156,37117227.0933549,2012631.63618206,9.241217711621442,29823300.01096271,13.355709244412036
