,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2015-7,55448269.895132035,2441838.0475551696,12.337589568611442,44140647.148251444
2015-8,55476886.22470558,2440978.3675986812,12.337830018790584,44145020.80075035
2015-9,55505502.55427912,2440118.687642193,12.338070468969727,44149394.45324925
2015-10,55534118.88385266,2439259.0076857046,12.338310919148869,44153768.10574816
2015-11,55562735.2134262,2438399.3277292163,12.338551369328012,44158141.75824707
2015-12,55591351.542999744,2437539.647772728,12.338791819507154,44162515.41074597
2016-1,55619967.87257329,2436679.9678162397,12.339032269686298,44166889.06324488
2016-2,55635929.69183261,2436308.9000810683,12.340636148539787,44173650.378194675
2016-3,55651891.511091925,2435937.8323458973,12.342240027393277,44180411.69314447
2016-4,55667853.33035125,2435566.764610726,12.343843906246766,44187173.00809426
2016-5,55683815.149610564,2435195.696875555,12.345447785100257,44193934.323044054
2016-6,55699776.96886989,2434824.6291403836,12.347051663953746,44200695.63799385
2016-7,55715738.78812921,2434453.5614052126,12.348655542807236,44207456.95294364
2016-8,55731700.607388526,2434082.493670041,12.350259421660725,44214218.26789343
2016-9,55747662.42664785,2433711.42593487,12.351863300514214,44220979.58284323
2016-10,55763624.245907165,2433340.358199699,12.353467179367705,44227740.897793025
2016-11,55779586.06516649,2432969.2904645274,12.355071058221194,44234502.21274282
2016-12,55795547.884425804,2432598.2227293565,12.356674937074684,44241263.52769261
2017-1,55811509.70368513,2432227.154994185,12.358278815928173,44248024.842642404
2017-2,55814848.660041764,2432973.35360611,12.360220673593117,44253014.06020896
2017-3,55818187.616398394,2433719.5522180353,12.362162531258061,44258003.277775526
2017-4,55821526.57275503,2434465.75082996,12.364104388923005,44262992.49534208
2017-5,55824865.52911166,2435211.949441885,12.366046246587949,44267981.71290865
2017-6,55828204.4854683,2435958.1480538105,12.367988104252893,44272970.930475205
2017-7,55831543.44182493,2436704.3466657354,12.369929961917837,44277960.14804177
2017-8,55834882.398181565,2437450.5452776602,12.37187181958278,44282949.36560833
2017-9,55838221.3545382,2438196.7438895856,12.373813677247725,44287938.583174884
2017-10,55841560.31089483,2438942.9425015105,12.375755534912669,44292927.80074145
2017-11,55844899.26725147,2439689.1411134354,12.377697392577613,44297917.018308006
2017-12,55848238.2236081,2440435.3397253607,12.379639250242557,44302906.23587457
2018-1,55851577.179964736,2441181.5383372856,12.3815811079075,44307895.45344113
2018-2,55830460.04151445,2442617.054636381,12.382052375869257,44306585.41707421
2018-3,55809342.90306416,2444052.5709354766,12.382523643831014,44305275.3807073
2018-4,55788225.764613874,2445488.087234572,12.382994911792773,44303965.344340384
2018-5,55767108.62616359,2446923.6035336675,12.38346617975453,44302655.307973474
2018-6,55745991.4877133,2448359.119832763,12.383937447716287,44301345.27160656
2018-7,55724874.34926301,2449794.6361318585,12.384408715678045,44300035.23523964
2018-8,55703757.21081273,2451230.1524309535,12.384879983639802,44298725.19887273
2018-9,55682640.072362445,2452665.668730049,12.38535125160156,44297415.16250581
2018-10,55661522.93391216,2454101.1850291444,12.385822519563316,44296105.1261389
2018-11,55640405.79546187,2455536.70132824,12.386293787525073,44294795.089771986
2018-12,55619288.65701158,2456972.2176273353,12.386765055486832,44293485.053405076
2019-1,55598171.518561296,2458407.733926431,12.387236323448588,44292175.01703816
2019-2,55547584.888929635,2459883.844864993,12.38684100703668,44283316.4085817
2019-3,55496998.259297974,2461359.9558035545,12.386445690624768,44274457.80012523
2019-4,55446411.62966631,2462836.0667421166,12.386050374212857,44265599.191668764
2019-5,55395825.000034645,2464312.1776806787,12.385655057800948,44256740.5832123
2019-6,55345238.370402984,2465788.2886192407,12.385259741389039,44247881.97475584
2019-7,55294651.74077132,2467264.399557803,12.384864424977128,44239023.366299376
2019-8,55244065.11113966,2468740.5104963644,12.384469108565217,44230164.757842906
2019-9,55193478.481508,2470216.6214349265,12.384073792153307,44221306.14938644
2019-10,55142891.85187633,2471692.7323734886,12.383678475741398,44212447.54092998
2019-11,55092305.22224467,2473168.84331205,12.383283159329487,44203588.93247351
2019-12,55041718.59261301,2474644.9542506123,12.382887842917576,44194730.32401705
2020-1,54991131.96298135,2476121.0651891744,12.382492526505667,44185871.715560585
2020-2,54910281.04847225,2477024.2148287464,12.383685689064675,44174970.198332585
2020-3,54829430.133963145,2477927.3644683184,12.384878851623684,44164068.68110459
