,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2009-12,17785552.411219716,1454165.0573128727,10.617471284310911,26239550.7724239
2010-1,17827895.717120513,1443676.3796348055,10.617472399861267,26055376.81965062
2010-2,17866905.72007675,1434264.7971527912,10.618695186867706,25912830.316822402
2010-3,17905915.72303299,1424853.214670777,10.619917973874147,25770283.81399418
2010-4,17944925.725989223,1415441.6321887628,10.621140760880586,25627737.311165962
2010-5,17983935.72894546,1406030.0497067485,10.622363547887025,25485190.808337744
2010-6,18022945.731901698,1396618.4672247344,10.623586334893465,25342644.305509523
2010-7,18061955.73485793,1387206.88474272,10.624809121899904,25200097.802681305
2010-8,18100965.73781417,1377795.3022607057,10.626031908906343,25057551.299853086
2010-9,18139975.740770407,1368383.7197786917,10.627254695912784,24915004.797024865
2010-10,18178985.743726645,1358972.1372966773,10.628477482919223,24772458.294196647
2010-11,18217995.746682882,1349560.554814663,10.629700269925662,24629911.79136843
2010-12,18257005.749639116,1340148.972332649,10.630923056932103,24487365.288540207
2011-1,18296015.752595354,1330737.3898506346,10.632145843938542,24344818.78571199
2011-2,18332746.822994906,1324713.5065937673,10.633650504712906,24252616.83639573
2011-3,18369477.893394463,1318689.6233368998,10.63515516548727,24160414.887079474
2011-4,18406208.963794015,1312665.7400800325,10.636659826261633,24068212.937763214
2011-5,18442940.034193568,1306641.8568231652,10.638164487035997,23976010.98844696
2011-6,18479671.10459312,1300617.9735662977,10.63966914781036,23883809.0391307
2011-7,18516402.174992673,1294594.0903094304,10.641173808584725,23791607.08981444
2011-8,18553133.24539223,1288570.207052563,10.642678469359087,23699405.140498184
2011-9,18589864.315791782,1282546.3237956956,10.64418313013345,23607203.191181924
2011-10,18626595.386191335,1276522.4405388283,10.645687790907814,23515001.24186567
2011-11,18663326.45659089,1270498.557281961,10.647192451682178,23422799.29254941
2011-12,18700057.526990443,1264474.6740250934,10.648697112456542,23330597.343233153
2012-1,18736788.597389996,1258450.7907682261,10.650201773230906,23238395.393916894
2012-2,18769830.537992183,1255985.7032196135,10.652155225765428,23200185.27282474
2012-3,18802872.47859437,1253520.6156710011,10.654108678299952,23161975.151732583
2012-4,18835914.41919656,1251055.5281223885,10.656062130834474,23123765.030640427
2012-5,18868956.359798748,1248590.440573776,10.658015583368998,23085554.90954827
2012-6,18901998.300400935,1246125.3530251635,10.65996903590352,23047344.788456116
2012-7,18935040.241003122,1243660.265476551,10.661922488438044,23009134.667363957
2012-8,18968082.18160531,1241195.1779279383,10.663875940972567,22970924.5462718
