data,Mato_Grosso - PIB - Per Capita,Mato_Grosso - PIB - Preços de Mercado,Mato_Grosso - PIB - Estadual,Mato_Grosso - PIB - Construção Civil,Mato_Grosso - População,Mato_Grosso - INCC (%),Mato_Grosso - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso - IGP-DI,Mato_Grosso - Taxa Selic (%),Mato_Grosso - IDH - Longevidade,Mato_Grosso - IDH - Renda,Mato_Grosso - IDH - Educação,Mato_Grosso - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso - Estoque liquido de capital fixo - (R$),Mato_Grosso - Desemprego,Mato_Grosso - Produção de Cimento (t),Mato_Grosso - Valor,Mato_Grosso - Consumo de Cimento (t)
2009-03-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.27,1.03,-0.13,0.047314,0.74,0.689,0.426,0.87,6773699.30541316,6.221740793,46703.0,0.43,75011.0
2009-04-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,-0.25,1.23,-0.84,0.04392790909,0.74,0.689,0.426,0.82,6773699.30541316,6.221740793,171191.0,0.39,68627.0
2009-05-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,-0.04,1.72,0.04,0.04181185,0.74,0.689,0.426,0.67,6773699.30541316,6.221740793,186425.0,0.365,80772.0
2009-06-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,1.39,2.2,0.18,0.0384042,0.74,0.689,0.426,0.55,6773699.30541316,6.221740793,68754.0,0.375,83634.0
2009-07-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.7,2.57,-0.32,0.03616333333,0.74,0.689,0.426,0.38,6773699.30541316,6.221740793,1039944.0,0.358,106560.0
2009-08-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.26,2.81,-0.64,0.03422486957,0.74,0.689,0.426,0.19,6773699.30541316,6.221740793,161222.0,0.405,94309.0
2009-09-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,-0.05,2.97,0.09,0.032927,0.74,0.689,0.426,0.02,6773699.30541316,6.221740793,75654.0,0.405,90908.0
2009-10-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.15,3.21,0.25,0.032927,0.74,0.689,0.426,0.04,6773699.30541316,6.221740793,38933.0,0.405,91557.0
2009-11-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.06,3.5,-0.04,0.032927,0.74,0.689,0.426,0.0,6773699.30541316,6.221740793,-1.0,0.3989999999999999,84618.0
2009-12-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.29,3.93,0.07,0.032927,0.74,0.689,0.426,-0.07,6773699.30541316,6.221740793,29584.0,0.3979999999999999,71713.0
2010-01-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.1,4.31,-0.11,0.03292531818,0.74,0.689,0.426,-0.06,6773699.30541316,6.8663627813,711886.0,0.386,72935.0
2010-02-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.64,0.75,1.01,0.03292515,0.74,0.689,0.426,-0.02,6930862.75002851,6.8663627813,43530.0,0.382,71644.0
2010-03-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.36,1.54,1.09,0.032927,0.74,0.689,0.426,0.08,6930862.75002851,6.8663627813,54563.0,0.382,91529.0
2010-04-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.75,2.06,0.63,0.032927,0.74,0.689,0.426,0.18,6930862.75002851,6.8663627813,175697.0,0.38,82698.0
2010-05-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.84,2.65,0.72,0.0331908,0.74,0.689,0.426,0.29,6930862.75002851,6.8663627813,220047.0,0.368,94332.0
2010-06-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,1.81,3.09,1.57,0.03565185714,0.74,0.689,0.426,0.43,6930862.75002851,6.8663627813,67001.0,0.375,97843.0
