data,Mato_Grosso - PIB - Per Capita,Mato_Grosso - PIB - Preços de Mercado,Mato_Grosso - PIB - Estadual,Mato_Grosso - PIB - Construção Civil,Mato_Grosso - População,Mato_Grosso - INCC (%),Mato_Grosso - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso - IGP-DI,Mato_Grosso - Taxa Selic (%),Mato_Grosso - IDH - Longevidade,Mato_Grosso - IDH - Renda,Mato_Grosso - IDH - Educação,Mato_Grosso - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso - Estoque liquido de capital fixo - (R$),Mato_Grosso - Desemprego,Mato_Grosso - Produção de Cimento (t),Mato_Grosso - Valor,Mato_Grosso - Consumo de Cimento (t)
2010-07-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,1.09,3.09,0.34,0.0376,0.74,0.689,0.426,0.6,6930862.75002851,6.8663627813,1135078.0,0.366,112852.0
2010-08-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.44,3.1,0.22,0.03897777273,0.74,0.689,0.426,0.67,6930862.75002851,6.8663627813,171348.0,0.42,99976.0
2010-09-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.14,3.14,1.1,0.040203,0.74,0.689,0.426,0.74,6930862.75002851,6.8663627813,79650.0,0.42,93907.0
2010-10-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.21,3.6,1.1,0.040203,0.74,0.689,0.426,0.85,6930862.75002851,6.8663627813,44393.0,0.42,97158.0
2010-11-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.2,4.38,1.03,0.040203,0.74,0.689,0.426,0.93,6930862.75002851,6.8663627813,45626.0,0.42,108130.0
2010-12-01,4188845.15578175,3863416.5116751664,1.3954946596083333,2286305.62599393,3001692.0,0.37,5.25,1.58,0.040203,0.74,0.689,0.426,0.99,6930862.75002851,6.8663627813,41632.0,0.42,76336.0
2011-01-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.67,5.91,0.38,0.04020769565,0.821,0.732,0.635,1.23,6930862.75002851,6.8663627813,807948.0,0.41,79550.0
2011-02-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.41,0.83,0.98,0.04089519048,0.821,0.732,0.635,1.22,7102235.53510611,6.8663627813,61197.0,0.405,79407.0
2011-03-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.28,1.64,0.96,0.0420272,0.821,0.732,0.635,1.18,7102235.53510611,6.8663627813,61006.0,0.405,83262.0
2011-04-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.43,2.44,0.61,0.04364038095,0.821,0.732,0.635,1.15,7102235.53510611,6.8663627813,132556.0,0.3996,80809.0
2011-05-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,1.06,3.23,0.5,0.04404368421,0.821,0.732,0.635,1.17,7102235.53510611,6.8663627813,238049.0,0.3879999999999999,103142.0
2011-06-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,2.94,3.71,0.01,0.044698,0.821,0.732,0.635,1.11,7102235.53510611,6.8663627813,77479.0,0.384,112599.0
2011-07-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.37,3.87,-0.13,0.04533085714,0.821,0.732,0.635,0.91,7102235.53510611,6.8663627813,1169996.0,0.4,115436.0
2011-08-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.45,4.04,-0.05,0.04587866667,0.821,0.732,0.635,0.84,7102235.53510611,6.8663627813,107037.0,0.41,113211.0
2011-09-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.13,4.42,0.61,0.04646017391,0.821,0.732,0.635,0.78,7102235.53510611,6.8663627813,74577.0,0.4125999999999999,112010.0
2011-10-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.14,4.97,0.75,0.04464585714,0.821,0.732,0.635,0.73,7102235.53510611,6.8663627813,26330.0,0.4138,125508.0
2011-11-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.23,5.43,0.4,0.04391405,0.821,0.732,0.635,0.7,7102235.53510611,6.8663627813,24495.0,0.4175999999999999,111015.0
2011-12-01,4147878.968242975,4147878.968242975,1.3602519911583333,3074157.32545783,3035122.0,0.72,5.97,0.43,0.042849,0.821,0.732,0.635,0.64,7102235.53510611,6.8663627813,88352.0,0.4125999999999999,88125.0
2012-01-01,4739139.688601233,5133369.3939762255,1.5407146600583337,3330629.6891166,3075936.0,0.11,6.5,-0.16,0.04106463636,0.821,0.732,0.635,0.46,7102235.53510611,7.6345026359,824921.0,0.4175999999999999,94775.0
2012-02-01,4739139.688601233,5133369.3939762255,1.5407146600583337,3330629.6891166,3075936.0,0.89,0.56,0.3,0.0403295,0.821,0.732,0.635,0.38,7283723.05855449,7.6345026359,59673.0,0.4175999999999999,92504.0
2012-03-01,4739139.688601233,5133369.3939762255,1.5407146600583337,3330629.6891166,3075936.0,0.3,1.01,0.07,0.03927,0.821,0.732,0.635,0.3,7283723.05855449,7.6345026359,44055.0,0.4164,108640.0
