data,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - População,Bahia - INCC (%),Bahia - IPCA - Variação mensal durante o Plano Real (%),Bahia - IGP-DI,Bahia - Taxa Selic (%),Bahia - IDH - Longevidade,Bahia - IDH - Renda,Bahia - IDH - Educação,Bahia - NFSP - Fluxo Mensal (Milhões de reais),Bahia - Estoque liquido de capital fixo - (R$),Bahia - Desemprego,Bahia - Produção de Cimento (t),Bahia - Valor,Bahia - Consumo de Cimento (t)
2011-05-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,1.06,3.23,0.5,0.04404368421,0.783,0.663,0.555,1.17,7102235.53510611,10.6699441943,191902.0,0.3647999999999999,311649.0
2011-06-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,2.94,3.71,0.01,0.044698,0.783,0.663,0.555,1.11,7102235.53510611,10.6699441943,31429.0,0.3752,284493.0
2011-07-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.37,3.87,-0.13,0.04533085714,0.783,0.663,0.555,0.91,7102235.53510611,10.6699441943,90853.0,0.3688,315672.0
2011-08-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.45,4.04,-0.05,0.04587866667,0.783,0.663,0.555,0.84,7102235.53510611,10.6699441943,480953.0,0.3704,343997.0
2011-09-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.13,4.42,0.61,0.04646017391,0.783,0.663,0.555,0.78,7102235.53510611,10.6699441943,71716.0,0.3707999999999999,337718.0
2011-10-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.14,4.97,0.75,0.04464585714,0.783,0.663,0.555,0.73,7102235.53510611,10.6699441943,272098.0,0.3806,316069.0
2011-11-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.23,5.43,0.4,0.04391405,0.783,0.663,0.555,0.7,7102235.53510611,10.6699441943,165422.0,0.3843999999999999,283237.0
2011-12-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.72,5.97,0.43,0.042849,0.783,0.663,0.555,0.64,7102235.53510611,10.6699441943,-1.0,0.3843999999999999,300385.0
2012-01-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.11,6.5,-0.16,0.04106463636,0.783,0.663,0.555,0.46,7102235.53510611,10.5096594349,749464.0,0.3868166,322696.0
2012-02-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.89,0.56,0.3,0.0403295,0.783,0.663,0.555,0.38,7283723.05855449,10.5096594349,-1.0,0.3804,280763.0
2012-03-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.3,1.01,0.07,0.03927,0.783,0.663,0.555,0.3,7283723.05855449,10.5096594349,-1.0,0.3826,347041.0
2012-04-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.51,1.22,0.56,0.037179,0.783,0.663,0.555,0.26,7283723.05855449,10.5096594349,113640.0,0.3886,301687.0
2012-05-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.75,1.87,1.02,0.035474,0.783,0.663,0.555,0.25,7283723.05855449,10.5096594349,205543.0,0.395,317338.0
2012-06-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,1.88,2.24,0.91,0.03373136364,0.783,0.663,0.555,0.35,7283723.05855449,10.5096594349,58473.0,0.3954,291015.0
2012-07-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.73,2.32,0.69,0.0319778,0.783,0.663,0.555,0.51,7283723.05855449,10.5096594349,94501.0,0.3934,303688.0
2012-08-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.67,2.76,1.52,0.03080763636,0.783,0.663,0.555,0.61,7283723.05855449,10.5096594349,469351.0,0.3948,328913.0
2012-09-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.26,3.18,1.29,0.02997965217,0.783,0.663,0.555,0.79,7283723.05855449,10.5096594349,100643.0,0.3974,304092.0
2012-10-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.22,3.77,0.88,0.028296,0.783,0.663,0.555,0.88,7283723.05855449,10.5096594349,270629.0,0.3989999999999999,344744.0
2012-11-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.21,4.38,-0.31,0.02770736364,0.783,0.663,0.555,0.89,7283723.05855449,10.5096594349,199388.0,0.4036,312801.0
2012-12-01,11211299.014515834,12143921.261966,0.79526667675,11230767.6814222,14097534.0,0.33,5.01,0.25,0.027371,0.783,0.663,0.555,0.84,7283723.05855449,10.5096594349,-1.0,0.4036,289544.0
2013-01-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.16,5.84,0.66,0.02743595,0.79,0.663,0.59,0.88,7283723.05855449,10.1816577204,729432.0,0.4036,327490.0
2013-02-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.65,0.86,0.31,0.02726,0.79,0.663,0.59,0.98,7469859.82561107,10.1816577204,-1.0,0.4032,288031.0
2013-03-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.6,1.47,0.2,0.0273115,0.79,0.663,0.59,1.0,7469859.82561107,8.0,-1.0,0.4032,317118.0
2013-04-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.5,1.94,0.31,0.02739875,0.79,0.663,0.59,1.03,7469859.82561107,7.8,134876.0,0.4078,320980.0
2013-05-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.74,2.5,-0.06,0.02781163636,0.79,0.663,0.59,0.98,7469859.82561107,7.7,201837.0,0.412,332452.0
2013-06-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,2.25,2.88,0.32,0.02842080952,0.79,0.663,0.59,0.88,7469859.82561107,7.6,54324.0,0.4138,278575.0
2013-07-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,1.15,3.15,0.76,0.030177,0.79,0.663,0.59,0.76,7469859.82561107,7.5,81542.0,0.4182,340828.0
2013-08-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.48,3.18,0.14,0.03137373913,0.79,0.663,0.59,0.82,7469859.82561107,7.4,571449.0,0.4064,370848.0
2013-09-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.31,3.43,0.46,0.03217809091,0.79,0.663,0.59,0.73,7469859.82561107,7.1,99197.0,0.4064,355831.0
2013-10-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.43,3.79,1.36,0.033839,0.79,0.663,0.59,0.63,7469859.82561107,7.0,285560.0,0.4142,369849.0
2013-11-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.26,4.38,0.63,0.03510369565,0.79,0.663,0.59,0.71,7469859.82561107,6.8,188022.0,0.4102,346788.0
2013-12-01,11353384.19325425,13274657.851848667,0.8009249437666667,11094618.3412616,14175341.0,0.35,4.95,0.28,0.0358381,0.79,0.663,0.59,0.81,7469859.82561107,6.9,-1.0,0.4188,284115.0
2014-01-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.1,5.91,0.69,0.0374662381,0.8,0.663,0.59,0.82,7469859.82561107,7.3,822431.0,0.4188,343750.0
2014-02-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.88,0.55,0.4,0.03845090909,0.8,0.663,0.59,0.77,7640474.20151994,7.8,-1.0,0.4214,362707.0
2014-03-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.33,1.24,0.85,0.0393598,0.8,0.663,0.59,0.75,7640474.20151994,8.1,-1.0,0.4257999999999999,348377.0
2014-04-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.28,2.18,1.48,0.040168,0.8,0.663,0.59,0.84,7640474.20151994,7.9,-1.0,0.4324,316831.0
2014-05-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.88,2.86,0.45,0.0409735,0.8,0.663,0.59,1.0,7640474.20151994,7.7,200658.0,0.4324,360879.0
2014-06-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,2.05,3.33,-0.45,0.041063,0.8,0.663,0.59,1.06,7640474.20151994,7.5,-1.0,0.4352,302072.0
2014-07-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.66,3.75,-0.63,0.041063,0.8,0.663,0.59,1.04,7640474.20151994,7.4,-1.0,0.4366,362601.0
2014-08-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.75,3.76,-0.55,0.041063,0.8,0.663,0.59,0.93,7640474.20151994,7.2,-1.0,0.437,361533.0
2014-09-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.08,4.02,0.06,0.04106814286,0.8,0.663,0.59,0.9,7640474.20151994,7.0,101306.0,0.437,396437.0
2014-10-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.15,4.61,0.02,0.041063,0.8,0.663,0.59,0.96,7640474.20151994,6.8,-1.0,0.4456,401830.0
2014-11-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.17,5.05,0.59,0.04114073913,0.8,0.663,0.59,0.87,7640474.20151994,6.6,-1.0,0.442,356097.0
2014-12-01,11818215.159687834,14855141.687921166,0.7855694985833334,11975954.4211983,15044137.0,0.44,5.58,1.14,0.041957,0.8,0.663,0.59,0.91,7640474.20151994,6.3,-1.0,0.442,337548.0
2015-01-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.08,6.41,0.38,0.043496,0.8,0.663,0.62,1.12,7640474.20151994,6.5,833191.0,0.4426,317765.0
2015-02-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.92,1.24,0.67,0.04433033333,0.8,0.663,0.62,1.04,7751228.17009106,6.8,-1.0,0.4454,359438.0
2015-03-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.31,2.48,0.53,0.045513,0.8,0.663,0.62,1.08,7751228.17009106,7.2,-1.0,0.4454,378031.0
2015-04-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.62,3.83,1.21,0.04703818182,0.8,0.663,0.62,1.09,7751228.17009106,7.2,-1.0,0.4454,303315.0
2015-05-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.46,4.56,0.92,0.04737575,0.8,0.663,0.62,1.03,7751228.17009106,7.1,-1.0,0.4512,316094.0
2015-06-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.95,5.34,0.4,0.049037,0.8,0.663,0.62,1.05,7751228.17009106,6.9,-1.0,0.4512,304782.0
2015-07-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,1.84,6.17,0.68,0.05053785714,0.8,0.663,0.62,1.13,7751228.17009106,7.0,-1.0,0.4512,350650.0
2015-08-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.55,6.83,0.58,0.05093956522,0.8,0.663,0.62,1.27,7751228.17009106,7.0,-1.0,0.4502,346748.0
2015-09-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.59,7.06,0.4,0.052531,0.8,0.663,0.62,1.36,7751228.17009106,6.9,-1.0,0.4482,358703.0
2015-10-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.22,7.64,1.42,0.052531,0.8,0.663,0.62,1.34,7751228.17009106,6.7,-1.0,0.4493999999999999,361571.0
2015-11-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.36,8.52,1.76,0.052531,0.8,0.663,0.62,1.45,7751228.17009106,6.6,-1.0,0.449,333394.0
2015-12-01,12061247.885016749,16350236.887083337,0.7973655997833333,12223089.6519606,15126371.0,0.34,9.62,1.19,0.052531,0.8,0.663,0.62,1.49,7751228.17009106,6.6,-1.0,0.4488,290918.0
2016-01-01,12343465.241845915,17998844.713789083,0.8118919995999999,10836194.7024349,15203334.0,0.1,10.67,0.44,0.052531,0.8,0.663,0.64,1.49,7751228.17009106,6.9,-1.0,0.4502,280877.0
2016-02-01,12343465.241845915,17998844.713789083,0.8118919995999999,10836194.7024349,15203334.0,0.39,1.27,1.53,0.052531,0.8,0.663,0.64,1.55,7806241.86849827,7.5,-1.0,0.4498,254568.0
2016-03-01,12343465.241845915,17998844.713789083,0.8118919995999999,10836194.7024349,15203334.0,0.54,2.18,0.79,0.052531,0.8,0.663,0.64,1.67,7806241.86849827,8.0,-1.0,0.4492,318235.0
2016-04-01,12343465.241845915,17998844.713789083,0.8118919995999999,10836194.7024349,15203334.0,0.64,2.62,0.43,0.052531,0.8,0.663,0.64,1.67,7806241.86849827,8.1,-1.0,0.4492,291591.0
