,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2014-5,30832028.54228899,1320077.0053720893,7.826256192592432,24697991.058042385
2014-6,30862538.72535491,1318917.754147535,7.827667387633364,24703080.92236851
2014-7,30893048.90842083,1317758.5029229806,7.8290785826742955,24708170.78669464
2014-8,30923559.09148675,1316599.2516984262,7.830489777715228,24713260.65102076
2014-9,30954069.27455267,1315440.0004738718,7.83190097275616,24718350.51534689
2014-10,30984579.45761859,1314280.7492493175,7.833312167797092,24723440.379673015
2014-11,31015089.64068451,1313121.498024763,7.834723362838024,24728530.243999142
2014-12,31045599.823750433,1311962.2468002087,7.836134557878956,24733620.10832527
2015-1,31076110.006816354,1310802.9955756543,7.837545752919888,24738709.972651396
2015-2,31092476.52012692,1310486.5266815126,7.83779889895134,24739108.685991623
2015-3,31108843.033437487,1310170.057787371,7.838052044982792,24739507.399331853
2015-4,31125209.546748053,1309853.5888932294,7.8383051910142445,24739906.11267208
2015-5,31141576.06005862,1309537.1199990879,7.838558337045696,24740304.826012306
2015-6,31157942.573369186,1309220.6511049462,7.838811483077149,24740703.539352532
2015-7,31174309.086679757,1308904.1822108044,7.8390646291086,24741102.25269276
2015-8,31190675.599990323,1308587.713316663,7.839317775140053,24741500.96603299
2015-9,31207042.11330089,1308271.2444225212,7.8395709211715054,24741899.679373216
2015-10,31223408.626611456,1307954.7755283797,7.839824067202957,24742298.392713442
2015-11,31239775.139922023,1307638.306634238,7.84007721323441,24742697.106053673
2015-12,31256141.65323259,1307321.8377400965,7.840330359265861,24743095.8193939
2016-1,31272508.166543156,1307005.3688459548,7.840583505297314,24743494.532734126
2016-2,31279698.633392807,1306603.4532133038,7.841281418232041,24744486.773961656
2016-3,31286889.10024246,1306201.537580653,7.841979331166769,24745479.015189186
2016-4,31294079.56709211,1305799.6219480024,7.8426772441014965,24746471.25641672
2016-5,31301270.03394176,1305397.7063153514,7.843375157036224,24747463.49764425
2016-6,31308460.50079141,1304995.7906827005,7.8440730699709516,24748455.73887178
2016-7,31315650.967641063,1304593.8750500497,7.844770982905679,24749447.980099313
2016-8,31322841.434490718,1304191.959417399,7.8454688958404075,24750440.221326843
2016-9,31330031.90134037,1303790.043784748,7.846166808775135,24751432.462554373
2016-10,31337222.36819002,1303388.128152097,7.846864721709863,24752424.703781903
2016-11,31344412.83503967,1302986.2125194464,7.84756263464459,24753416.945009433
2016-12,31351603.301889323,1302584.2968867957,7.848260547579318,24754409.186236966
2017-1,31358793.768738974,1302182.3812541447,7.848958460514045,24755401.427464496
2017-2,31353798.54465192,1302183.7184848578,7.848904136816106,24752897.498157423
2017-3,31348803.320564866,1302185.055715571,7.848849813118168,24750393.568850353
2017-4,31343808.096477814,1302186.392946284,7.848795489420229,24747889.63954328
2017-5,31338812.872390762,1302187.7301769971,7.84874116572229,24745385.710236207
