,Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2012-9,153113668.07911307,6849813.871626658,20.10738047270315,127411033.86495897
2012-10,153331956.56406224,6846853.010604908,20.106168153503475,127443803.46712497
2012-11,153550245.04901138,6843892.149583157,20.1049558343038,127476573.06929098
2012-12,153768533.53396052,6840931.288561407,20.103743515104128,127509342.671457
2013-1,153986822.01890966,6837970.427539656,20.102531195904454,127542112.27362299
2013-2,154161420.2206041,6836039.438443871,20.10109332926289,127558487.14865912
2013-3,154336018.42229855,6834108.449348087,20.099655462621328,127574862.02369528
2013-4,154510616.62399298,6832177.460252304,20.09821759597977,127591236.89873141
2013-5,154685214.8256874,6830246.471156519,20.096779729338206,127607611.77376756
2013-6,154859813.02738184,6828315.482060734,20.095341862696642,127623986.6488037
2013-7,155034411.22907627,6826384.49296495,20.09390399605508,127640361.52383983
2013-8,155209009.43077073,6824453.503869167,20.092466129413516,127656736.39887598
2013-9,155383607.63246515,6822522.514773382,20.091028262771953,127673111.27391212
2013-10,155558205.83415958,6820591.525677597,20.08959039613039,127689486.14894827
2013-11,155732804.03585404,6818660.536581813,20.08815252948883,127705861.0239844
2013-12,155907402.23754847,6816729.54748603,20.086714662847267,127722235.89902055
2014-1,156082000.4392429,6814798.558390245,20.085276796205704,127738610.77405669
2014-2,156193049.46180758,6812945.931981492,20.081341701944847,127731874.16854942
2014-3,156304098.48437223,6811093.305572738,20.077406607683987,127725137.56304215
2014-4,156415147.5069369,6809240.679163985,20.07347151342313,127718400.95753488
2014-5,156526196.5295016,6807388.052755232,20.06953641916227,127711664.35202761
2014-6,156637245.55206624,6805535.426346478,20.06560132490141,127704927.74652034
2014-7,156748294.57463092,6803682.799937725,20.061666230640554,127698191.14101309
2014-8,156859343.5971956,6801830.173528972,20.057731136379694,127691454.53550582
2014-9,156970392.61976025,6799977.547120218,20.053796042118837,127684717.92999855
2014-10,157081441.64232492,6798124.920711465,20.049860947857976,127677981.32449128
2014-11,157192490.6648896,6796272.294302712,20.04592585359712,127671244.71898401
2014-12,157303539.68745425,6794419.667893958,20.041990759336258,127664508.11347674
2015-1,157414588.71001893,6792567.041485205,20.0380556650754,127657771.50796947
2015-2,157505197.13225883,6789866.097782569,20.037107747786447,127664415.26423514
2015-3,157595805.55449873,6787165.154079934,20.03615983049749,127671059.0205008
2015-4,157686413.97673863,6784464.210377298,20.035211913208535,127677702.77676646
2015-5,157777022.39897853,6781763.266674662,20.034263995919577,127684346.53303213
2015-6,157867630.82121843,6779062.322972026,20.033316078630623,127690990.28929779
2015-7,157958239.24345833,6776361.37926939,20.032368161341665,127697634.04556346
2015-8,158048847.66569826,6773660.435566755,20.03142024405271,127704277.80182913
2015-9,158139456.08793816,6770959.491864119,20.030472326763757,127710921.55809478
2015-10,158230064.51017806,6768258.548161482,20.0295244094748,127717565.31436045
2015-11,158320672.93241796,6765557.604458847,20.028576492185845,127724209.07062612
2015-12,158411281.35465786,6762856.660756212,20.027628574896887,127730852.82689178
2016-1,158501889.77689776,6760155.717053575,20.026680657607933,127737496.58315745
2016-2,158559746.84417474,6758480.9340158915,20.028420084747097,127755269.47806123
2016-3,158617603.9114517,6756806.150978208,20.030159511886257,127773042.37296502
2016-4,158675460.97872868,6755131.367940525,20.03189893902542,127790815.26786882
2016-5,158733318.04600567,6753456.584902841,20.03363836616458,127808588.1627726
2016-6,158791175.11328265,6751781.801865157,20.035377793303745,127826361.05767637
2016-7,158849032.18055964,6750107.018827474,20.03711722044291,127844133.95258017
2016-8,158906889.2478366,6748432.23578979,20.03885664758207,127861906.84748396
2016-9,158964746.31511357,6746757.452752106,20.040596074721233,127879679.74238774
2016-10,159022603.38239056,6745082.669714422,20.042335501860393,127897452.63729152
2016-11,159080460.4496675,6743407.886676738,20.044074928999557,127915225.53219531
2016-12,159138317.5169445,6741733.103639055,20.045814356138717,127932998.42709911
2017-1,159196174.58422148,6740058.320601371,20.04755378327788,127950771.32200289
2017-2,159193570.69506532,6741063.524156306,20.047949493277862,127951108.77333628
2017-3,159190966.8059092,6742068.727711242,20.04834520327784,127951446.22466967
2017-4,159188362.91675302,6743073.9312661765,20.048740913277822,127951783.67600305
2017-5,159185759.0275969,6744079.134821111,20.0491366232778,127952121.12733644
2017-6,159183155.13844073,6745084.338376046,20.04953233327778,127952458.57866983
2017-7,159180551.24928457,6746089.541930981,20.04992804327776,127952796.03000322
2017-8,159177947.36012843,6747094.745485917,20.05032375327774,127953133.48133662
2017-9,159175343.47097227,6748099.949040852,20.050719463277723,127953470.93267001
2017-10,159172739.58181614,6749105.152595786,20.0511151732777,127953808.3840034
2017-11,159170135.69265997,6750110.356150722,20.051510883277682,127954145.83533679
2017-12,159167531.80350384,6751115.559705657,20.05190659327766,127954483.28667018
2018-1,159164927.91434768,6752120.763260592,20.052302303277642,127954820.73800357
2018-2,159098839.91425124,6752781.881563017,20.05140792687586,127944245.72157049
2018-3,159032751.91415483,6753442.999865443,20.05051355047408,127933670.70513742
2018-4,158966663.9140584,6754104.118167869,20.049619174072294,127923095.68870434
2018-5,158900575.91396198,6754765.236470295,20.048724797670513,127912520.67227128
2018-6,158834487.91386554,6755426.3547727205,20.04783042126873,127901945.6558382
2018-7,158768399.91376913,6756087.473075146,20.046936044866946,127891370.63940513
2018-8,158702311.9136727,6756748.591377572,20.046041668465165,127880795.62297206
2018-9,158636223.91357625,6757409.7096799975,20.045147292063383,127870220.60653898
2018-10,158570135.91347983,6758070.827982424,20.044252915661602,127859645.59010592
2018-11,158504047.9133834,6758731.946284849,20.04335853925982,127849070.57367285
2018-12,158437959.91328698,6759393.0645872755,20.042464162858035,127838495.55723977
2019-1,158371871.91319054,6760054.182889701,20.041569786456254,127827920.5408067
2019-2,158214267.52308902,6760836.653952901,20.038766221683453,127794491.01716009
2019-3,158056663.1329875,6761619.125016101,20.035962656910655,127761061.4935135
2019-4,157899058.742886,6762401.596079301,20.033159092137854,127727631.96986689
2019-5,157741454.35278448,6763184.0671425015,20.030355527365057,127694202.4462203
2019-6,157583849.96268296,6763966.538205701,20.027551962592256,127660772.92257369
2019-7,157426245.57258144,6764749.009268901,20.024748397819458,127627343.3989271
2019-8,157268641.18247992,6765531.480332102,20.021944833046657,127593913.87528048
2019-9,157111036.7923784,6766313.951395301,20.019141268273856,127560484.35163388
2019-10,156953432.40227687,6767096.4224585015,20.01633770350106,127527054.82798728
2019-11,156795828.01217538,6767878.893521702,20.013534138728257,127493625.30434068
2019-12,156638223.62207386,6768661.364584901,20.01073057395546,127460195.78069408
2020-1,156480619.23197234,6769443.835648102,20.00792700918266,127426766.25704747
2020-2,156212662.34056467,6769087.594620156,20.006612249421615,127377667.20846401
2020-3,155944705.449157,6768731.353592211,20.00529748966057,127328568.15988055
2020-4,155676748.55774933,6768375.112564266,20.003982729899526,127279469.11129707
2020-5,155408791.66634166,6768018.87153632,20.002667970138486,127230370.06271361
2020-6,155140834.774934,6767662.630508375,20.00135321037744,127181271.01413015
2020-7,154872877.88352633,6767306.38948043,20.000038450616398,127132171.96554668
2020-8,154604920.99211866,6766950.148452484,19.998723690855353,127083072.91696322
2020-9,154336964.100711,6766593.907424539,19.99740893109431,127033973.86837976
2020-10,154069007.20930332,6766237.666396594,19.99609417133327,126984874.8197963
2020-11,153801050.31789565,6765881.425368648,19.994779411572225,126935775.77121282
2020-12,153533093.42648798,6765525.184340703,19.99346465181118,126886676.72262935
2021-1,153265136.5350803,6765168.943312758,19.992149892050136,126837577.67404589
2021-2,152941656.06971058,6764633.600646306,19.990600103218462,126777887.23445654
2021-3,152618175.60434088,6764098.257979853,19.989050314386787,126718196.7948672
2021-4,152294695.13897115,6763562.9153134,19.987500525555113,126658506.35527785
2021-5,151971214.67360142,6763027.5726469485,19.985950736723435,126598815.9156885
2021-6,151647734.20823172,6762492.229980497,19.98440094789176,126539125.47609916
2021-7,151324253.742862,6761956.887314044,19.982851159060086,126479435.03650981
2021-8,151000773.27749225,6761421.544647591,19.98130137022841,126419744.59692046
2021-9,150677292.81212255,6760886.201981139,19.979751581396737,126360054.15733112
2021-10,150353812.34675282,6760350.859314688,19.97820179256506,126300363.71774177
2021-11,150030331.8813831,6759815.516648235,19.976652003733385,126240673.27815242
2021-12,149706851.4160134,6759280.173981782,19.97510221490171,126180982.83856308
2022-1,149383370.95064366,6758744.83131533,19.973552426070036,126121292.39897373
