,Alagoas - IDH,Alagoas - Depósito Poupança (R$),Alagoas - Consumo de Cimento (t),Alagoas - IDH Longevidade,Alagoas - value,Alagoas - IDH Renda,Alagoas- custo m2 (R$),Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado,Alagoas - IDH Educacao,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2006-4,0.6494947216530835,1800931.0348692476,23.23,0.7434169186893946,0.3046055216682623,0.6014668489389553,13477.905274471485,8.585055815089019,39.746581282098944,27045525.92947728,1350730.8208610187,7.65813571135674,23934003.85467757,0.5928876936874918,639239.6343437436,7542295.848507533,276.25389917179274,2883566.376169771,0.5491307539299164,3.221593819728316,0.5671710316312383,0.3979963710958243,-8423.448244351577,3.836249908110392,146.14766958416357,183927276.1100652,233.12343857484493,1.2502528613576849
2006-5,0.649794032361746,1821473.9067907035,24.302,0.7437206835132335,0.3046637567709289,0.601773793625599,13546.57862278502,8.584082185582663,39.95840229774488,27070281.43298792,1351763.08554548,7.659731878220044,23940118.731175244,0.593325127935442,650002.3898724334,7547503.870723005,263.21092057760643,2915862.370436281,0.5836820001689738,3.2054174815467653,0.5968232499556683,0.4056653747218318,-8229.867308086905,3.840605092822108,146.88575068887118,184084884.86432725,234.85656413124656,1.0095742979252955
2006-6,0.6500933430704084,1842016.778712159,19.608,0.7440244483370725,0.3051281120845965,0.6020807383122426,13611.76283087002,8.583108556076308,40.33641328931986,27095036.936498556,1352795.3502299413,7.661328045083349,23946233.60767292,0.5937625621833922,658313.6048432353,7552711.892938478,253.3311597139729,2948249.7182092103,0.6123741776559579,3.1893377440623247,0.6052265435927703,0.4149031030845876,-8333.395980655183,3.8357922282673904,147.62383179357877,184242493.6185893,236.571865172009,1.1668510987613707
2006-7,0.650392653779071,1862559.650633615,21.908,0.7443282131609115,0.3060060421070542,0.6023876829988863,13677.705268663263,8.582134926569953,40.82444880064518,27119792.440009184,1353827.6149144024,7.6629242119466525,23952348.4841706,0.5941999964313425,667304.7989431338,7557919.915153951,243.97109080663773,2959619.3646790986,0.6206261710016543,3.173380136020476,0.6134655051430675,0.4267485653722618,-8363.641502791654,3.834296240076312,148.3619128982864,184400102.37285143,238.27043026171523,1.026151222924956
2006-8,0.6506919644877335,1883102.522555071,26.927,0.7446319779847503,0.307203095163068,0.6026946276855301,13746.638302007104,8.581161297063597,41.40271427257181,27144547.94351982,1354859.8795988634,7.664520378809957,23958463.36066828,0.5946374306792926,676378.6807572738,7563127.937369425,234.6161358747217,2972598.568363662,0.6093984595457096,3.1575701861667023,0.6251193452031805,0.4258794259587617,-8483.803210688488,3.837301314139748,149.11491383618767,184557711.1271135,239.9230618685272,1.1135288127682357
2006-9,0.6509912751963959,1903645.3944765264,26.885,0.7449357428085893,0.3086249544974759,0.6030015723721737,13819.082802636254,8.580187667557242,41.91726160014072,27169303.44703045,1355892.1442833247,7.666116545673262,23964578.237165958,0.5950748649272428,688540.2959400815,7568335.959584897,227.39699563073523,2968920.409500552,0.6087555012956766,3.141933423246487,0.6374779078573267,0.427904503700878,-8564.573776025667,3.830845488644045,149.86791477408894,184715319.8813756,241.54458321001297,1.064885873032217
2006-10,0.6512905859050584,1924188.2663979824,27.027,0.7452395076324282,0.3106940191729075,0.6033085170588174,13894.44619330092,8.579214038050885,41.916063635075,27194058.95054109,1356924.408967786,7.667712712536566,23970693.11366363,0.595512299175193,702426.9953394711,7573543.98180037,222.68985059654605,3137629.6446888424,0.6272259685547825,3.126495376005314,0.6494765821002537,0.4308949403404751,-8753.077264130869,3.820865481468113,150.62091571199022,184872928.63563767,243.1082823431769,1.3883378064077412
2006-11,0.6515898966137209,1944731.1383194383,30.102,0.7455432724562672,0.3128041791914929,0.6036154617454611,13970.923756978264,8.57824040854453,41.62306659884999,27218814.45405173,1357956.673652247,7.66930887939987,23976807.990161307,0.5959497334231432,715811.6582559105,7578752.004015843,219.95090827883052,3371346.513797879,0.6138016533493752,3.1112815731886654,0.6544472076430272,0.4297781875807803,-8585.918047929645,3.797759546537678,151.30727369782838,185030537.38989973,244.58619112418265,1.392456147938836
2006-12,0.6518892073223833,1965274.0102408945,28.794,0.745847037280106,0.3149573797551456,0.6039224064321047,14048.061765941256,8.577266779038174,41.737094373435845,27243569.95756236,1358988.938336708,7.670905046263174,23982922.866658986,0.5963871676710935,727560.5307190763,7583960.026231317,217.7367940152106,3478580.7521593445,0.5948781830476984,3.0963175435420256,0.6529124218025248,0.4275878752901689,-8102.613779191029,3.778681269312833,151.99363168366656,185188146.14416185,246.01294427055387,1.1927122116957445
2007-1,0.6521885180310458,1985816.88216235,34.1,0.746150802103945,0.3171556223256395,0.6042293511187484,14126.784717264029,8.57629314953182,41.755128667230935,27268325.461072996,1360021.2030211694,7.672501213126479,23989037.74315666,0.5968246019190436,738539.8377949974,7589168.048446789,214.8697613113524,3465619.8819014444,0.5915910920220523,3.081628815810877,0.652250285916937,0.4261722902551189,-8429.349883699913,3.758139256867763,152.67998966950472,185345754.8984239,247.44436787345552,1.0523384765809212
2007-2,0.652452326172018,1996073.709176725,27.356,0.7464077953281771,0.319405042147038,0.6045178270962399,14206.492272757909,8.573521602389544,41.655837130287146,27288733.982250717,1360849.563817445,7.673491697329826,23991790.002863195,0.5972363669479552,751771.8737028147,7594051.910447072,210.2471208130518,3321575.2056041574,0.5821912594010402,3.0672409187407026,0.6486758561842155,0.4272545197346237,-8207.504212454718,3.739732339264414,153.32631902904507,185495361.54458392,249.54686218214692,0.8648345966337321
2007-3,0.6527161343129901,2006330.5361911,31.753,0.7466647885524094,0.3219117388497415,0.6048063030737314,14287.91966970165,8.57075005524727,41.47280162862544,27309142.50342843,1361677.9246137205,7.674482181533174,23994542.26256973,0.597648131976867,765537.1422995625,7598935.772447355,206.0752754548079,3315160.34317312,0.5624597981278792,3.0531793810769865,0.6396733150346336,0.421374616153345,-8302.699392306728,3.706955628134506,153.97264838858544,185644968.19074392,251.65055665221337,1.0136782679054217
2007-4,0.6529799424539623,2016587.363205475,28.188,0.7469217817766415,0.3242778532186606,0.6050947790512229,14369.555662773952,8.567978508104995,41.17999095662411,27329551.02460615,1362506.2854099963,7.675472665736521,23997294.522276264,0.5980598970057786,779563.6032004755,7603819.634447637,202.60709188519417,3271622.245505456,0.5607781390026951,3.0394697315652115,0.6337527638093442,0.4226987158945232,-8434.701866226666,3.675935689954143,154.6189777481258,185794574.836904,253.7161436166845,0.9058292634380308
2007-5,0.6532437505949344,2026844.19021985,29.624,0.7471787750008737,0.3267012304464924,0.6053832550287144,14454.34154936075,8.565206960962719,40.82249626238234,27349959.54578387,1363334.6462062718,7.676463149939869,24000046.7819828,0.5984716620346903,793632.7491000076,7608703.49644792,199.70760205242289,3308180.387129716,0.5641176200703027,3.026137498950861,0.653237645563625,0.4265292995204747,-8141.051175182823,3.63852003418216,154.96803306283462,185944181.483064,255.3073002060301,0.9385189527188756
2007-6,0.6535075587359066,2037101.017234225,25.216,0.7474357682251058,0.3291837410809152,0.6056717310062059,14534.354930907832,8.562435413820443,40.431227787790256,27370368.066961583,1364163.0070025474,7.677453634143217,24002799.041689333,0.5988834270636019,810591.0704600966,7613587.358448203,196.56657159174367,3356492.918711034,0.557268421320419,3.0132082119794177,0.6449100186574492,0.427912233110958,-8026.170619784551,3.601931188268772,155.31708837754346,186093788.129224,256.8884825968233,0.8300336615044933
2007-7,0.6537713668768788,2047357.8442486,26.504,0.747692761449338,0.3317481048814107,0.6059602069836973,14613.821369752251,8.559663866678168,40.15216051830472,27390776.588139307,1364991.367798823,7.678444118346564,24005551.301395867,0.5992951920925136,828801.1639120209,7618471.220448485,195.4713076894235,3377509.25255415,0.5417029185846474,3.000707399396365,0.63275579381832,0.4270491588284315,-7955.022260278307,3.560009340555952,155.6661436922523,186243394.77538395,258.4449215140347,1.091015693647252
