,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
2012-4,1171098771.2015066,48145933.10085502,24.077728286294757,1002437586.4077108
2012-5,1172557868.2096608,48114632.91214573,24.073750930385064,1002520806.0810517
2012-6,1174016965.217815,48083332.72343644,24.06977357447537,1002604025.7543926
2012-7,1175476062.2259693,48052032.53472714,24.065796218565676,1002687245.4277334
2012-8,1176935159.2341235,48020732.34601785,24.061818862655983,1002770465.1010742
2012-9,1178394256.2422776,47989432.15730856,24.05784150674629,1002853684.7744151
2012-10,1179853353.2504318,47958131.96859927,24.053864150836596,1002936904.447756
2012-11,1181312450.258586,47926831.77988998,24.049886794926906,1003020124.1210968
2012-12,1182771547.26674,47895531.59118068,24.045909439017212,1003103343.7944376
2013-1,1184230644.2748942,47864231.40247139,24.04193208310752,1003186563.4677786
2013-2,1185363616.3824568,47821741.21199864,24.038557260935388,1003172041.3982915
2013-3,1186496588.4900193,47779251.02152589,24.03518243876326,1003157519.3288044
2013-4,1187629560.5975819,47736760.831053145,24.03180761659113,1003142997.2593173
2013-5,1188762532.7051446,47694270.64058039,24.028432794419,1003128475.1898302
2013-6,1189895504.8127072,47651780.45010764,24.025057972246874,1003113953.1203431
2013-7,1191028476.9202697,47609290.2596349,24.021683150074743,1003099431.0508559
2013-8,1192161449.0278323,47566800.069162145,24.018308327902613,1003084908.9813688
2013-9,1193294421.1353948,47524309.87868939,24.014933505730486,1003070386.9118817
2013-10,1194427393.2429576,47481819.68821664,24.011558683558356,1003055864.8423946
2013-11,1195560365.3505201,47439329.49774389,24.008183861386225,1003041342.7729075
2013-12,1196693337.4580827,47396839.307271145,24.0048090392141,1003026820.7034204
2014-1,1197826309.5656452,47354349.11679839,24.001434217041968,1003012298.6339333
2014-2,1198583182.4459887,47315932.99597952,23.997232005167625,1002921414.1329147
2014-3,1199340055.3263319,47277516.87516064,23.99302979329328,1002830529.631896
2014-4,1200096928.2066753,47239100.754341766,23.98882758141894,1002739645.1308774
2014-5,1200853801.0870185,47200684.63352289,23.984625369544595,1002648760.6298587
2014-6,1201610673.967362,47162268.512704015,23.980423157670252,1002557876.1288401
2014-7,1202367546.8477054,47123852.39188513,23.97622094579591,1002466991.6278214
2014-8,1203124419.7280486,47085436.271066256,23.97201873392157,1002376107.1268027
2014-9,1203881292.608392,47047020.15024738,23.967816522047226,1002285222.625784
2014-10,1204638165.4887352,47008604.029428504,23.963614310172883,1002194338.1247654
2014-11,1205395038.3690786,46970187.90860963,23.95941209829854,1002103453.6237468
2014-12,1206151911.2494218,46931771.78779075,23.955209886424196,1002012569.1227281
2015-1,1206908784.1297653,46893355.66697188,23.951007674549853,1001921684.6217095
2015-2,1207401314.274481,46861391.483091086,23.948621595401285,1001870307.1518114
2015-3,1207893844.4191968,46829427.29921029,23.946235516252717,1001818929.6819133
2015-4,1208386374.5639129,46797463.11532949,23.94384943710415,1001767552.2120152
2015-5,1208878904.7086287,46765498.9314487,23.941463357955584,1001716174.7421169
2015-6,1209371434.8533444,46733534.74756791,23.939077278807016,1001664797.2722188
2015-7,1209863964.9980602,46701570.56368711,23.936691199658448,1001613419.8023207
2015-8,1210356495.142776,46669606.37980631,23.93430512050988,1001562042.3324226
2015-9,1210849025.2874918,46637642.19592552,23.93191904136131,1001510664.8625245
2015-10,1211341555.4322076,46605678.01204473,23.929532962212747,1001459287.3926263
2015-11,1211834085.5769236,46573713.82816393,23.92714688306418,1001407909.9227282
2015-12,1212326615.7216394,46541749.64428313,23.92476080391561,1001356532.4528301
2016-1,1212819145.8663552,46509785.46040234,23.922374724767042,1001305154.982932
2016-2,1212935322.2590752,46494417.63864795,23.921404556269,1001273811.7148464
2016-3,1213051498.6517951,46479049.81689357,23.920434387770957,1001242468.4467608
2016-4,1213167675.0445151,46463681.99513918,23.919464219272914,1001211125.1786752
2016-5,1213283851.4372349,46448314.1733848,23.91849405077487,1001179781.9105895
2016-6,1213400027.8299549,46432946.35163041,23.91752388227683,1001148438.6425039
2016-7,1213516204.2226748,46417578.52987602,23.916553713778786,1001117095.3744183
