,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2018-2,96972592.54491472,4326369.078668895,9.65620303213046,74062661.64390202
2018-3,96960231.89257365,4327035.23878012,9.657431774264088,74068712.22081357
2018-4,96947871.2402326,4327701.398891346,9.658660516397717,74074762.79772513
2018-5,96935510.58789155,4328367.559002571,9.659889258531345,74080813.37463668
2018-6,96923149.93555048,4329033.719113796,9.661118000664974,74086863.95154823
2018-7,96910789.28320943,4329699.879225021,9.662346742798603,74092914.52845979
2018-8,96898428.63086838,4330366.039336246,9.663575484932231,74098965.10537133
2018-9,96886067.97852731,4331032.199447472,9.66480422706586,74105015.68228288
2018-10,96873707.32618625,4331698.359558697,9.666032969199488,74111066.25919443
2018-11,96861346.6738452,4332364.519669922,9.667261711333117,74117116.83610599
2018-12,96848986.02150413,4333030.679781147,9.668490453466745,74123167.41301754
2019-1,96836625.36916308,4333696.8398923725,9.669719195600374,74129217.9899291
2019-2,96762985.98166665,4334224.160462631,9.6693680276687,74116612.85691936
2019-3,96689346.59417021,4334751.481032889,9.669016859737026,74104007.72390963
2019-4,96615707.20667379,4335278.801603148,9.668665691805352,74091402.5908999
2019-5,96542067.81917736,4335806.122173406,9.668314523873677,74078797.45789017
2019-6,96468428.43168093,4336333.442743665,9.667963355942003,74066192.32488044
2019-7,96394789.0441845,4336860.763313923,9.66761218801033,74053587.19187069
2019-8,96321149.65668806,4337388.0838841805,9.667261020078655,74040982.05886096
2019-9,96247510.26919164,4337915.404454439,9.666909852146981,74028376.92585123
2019-10,96173870.88169521,4338442.725024697,9.666558684215307,74015771.7928415
2019-11,96100231.49419877,4338970.045594956,9.666207516283633,74003166.65983176
2019-12,96026592.10670234,4339497.366165214,9.665856348351959,73990561.52682203
2020-1,95952952.71920592,4340024.686735473,9.665505180420285,73977956.3938123
2020-2,95738776.29124959,4340879.926640825,9.660564659976018,73915446.38976271
2020-3,95524599.86329325,4341735.166546178,9.65562413953175,73852936.38571313
2020-4,95310423.43533692,4342590.406451531,9.650683619087483,73790426.38166356
2020-5,95096247.00738059,4343445.646356883,9.645743098643216,73727916.37761398
2020-6,94882070.57942425,4344300.886262236,9.640802578198947,73665406.37356439
2020-7,94667894.15146792,4345156.126167589,9.63586205775468,73602896.36951482
2020-8,94453717.72351159,4346011.366072942,9.630921537310414,73540386.36546524
2020-9,94239541.29555525,4346866.605978294,9.625981016866145,73477876.36141565
2020-10,94025364.86759892,4347721.845883647,9.621040496421879,73415366.35736607
2020-11,93811188.4396426,4348577.085789,9.616099975977612,73352856.35331649
2020-12,93597012.01168625,4349432.325694352,9.611159455533343,73290346.34926692
2021-1,93382835.58372992,4350287.565599705,9.606218935089077,73227836.34521733
2021-2,93126331.10083526,4351277.666366235,9.600312433649064,73152495.64444077
2021-3,92869826.61794059,4352267.767132767,9.594405932209053,73077154.94366421
2021-4,92613322.13504593,4353257.867899297,9.58849943076904,73001814.24288765
2021-5,92356817.65215127,4354247.968665827,9.58259292932903,72926473.54211108
2021-6,92100313.1692566,4355238.069432357,9.576686427889017,72851132.84133452
2021-7,91843808.68636194,4356228.170198888,9.570779926449006,72775792.14055797
2021-8,91587304.20346728,4357218.270965419,9.564873425008994,72700451.43978141
2021-9,91330799.7205726,4358208.371731949,9.558966923568981,72625110.73900485
2021-10,91074295.23767795,4359198.472498479,9.55306042212897,72549770.03822829
2021-11,90817790.75478329,4360188.5732650105,9.547153920688958,72474429.33745173
2021-12,90561286.27188861,4361178.674031541,9.541247419248947,72399088.63667516
2022-1,90304781.78899395,4362168.774798071,9.535340917808934,72323747.9358986
