,Sergipe - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Sergipe - value,Sergipe - Produção de Cimento (t),Sergipe - Consumo de Cimento (t),Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - Desemprego
2007-4,0.6830533229687614,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,0.3508263158201968,212.18490884819005,23.109,22630592.9031267,1302520.5147378435,9.999473148122195,20474594.368744217,8.172739625239911
2007-5,0.6832491346700849,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,0.351325084489343,212.94902419474028,23.938,22644129.873951662,1302739.179473203,9.99905194717867,20473931.930566862,8.17034960190461
2007-6,0.6834449463714083,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,0.3518458336899561,212.29620609502675,22.669,22657666.844776623,1302957.8442085625,9.998630746235143,20473269.492389515,8.167959578569306
2007-7,0.6836407580727317,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,0.3523856927740615,213.46076240641733,24.124,22671203.815601587,1303176.5089439217,9.99820954529162,20472607.05421216,8.165569555234004
2007-8,0.6838365697740553,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,0.3529458063975627,214.64311778963167,26.244,22684740.786426548,1303395.173679281,9.997788344348097,20471944.61603481,8.1631795318987
2007-9,0.6840323814753787,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,0.3537355822606539,215.16890056263617,25.683,22698277.75725151,1303613.8384146404,9.997367143404572,20471282.17785746,8.160789508563397
2007-10,0.6842281931767021,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,0.3543482042524955,215.62169022254284,31.575,22711814.72807647,1303832.5031499998,9.996945942461046,20470619.739680108,8.158399485228095
2007-11,0.6844240048780257,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,0.3549848719594715,216.7162928784317,32.122,22725351.69890143,1304051.167885359,9.996524741517522,20469957.30150276,8.156009461892792
2007-12,0.6846198165793491,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,0.3556468019057324,218.12245611163112,30.606,22738888.669726398,1304269.8326207185,9.996103540573998,20469294.86332541,8.15361943855749
2008-1,0.6848156282806726,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,0.3563352270928677,218.75116693573355,33.134,22752425.640551355,1304488.4973560777,9.995682339630472,20468632.42514805,8.151229415222186
2008-2,0.6849808079360409,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,0.3570513982712425,219.5328348447496,29.53,22759892.151504733,1304711.254314934,9.992911196931855,20464152.236422587,8.153775275313086
2008-3,0.6851459875914092,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,0.3577965835457788,221.5817325301187,29.167,22767358.662458107,1304934.0112737906,9.99014005423324,20459672.04769712,8.156321135403985
2008-4,0.6853111672467775,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,0.3585678197869435,222.12319411037265,31.974,22774825.173411485,1305156.768232647,9.98736891153462,20455191.85897165,8.158866995494883
2008-5,0.6854763469021459,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,0.3595702336021926,223.25655545194,29.086,22782291.684364863,1305379.5251915036,9.984597768836004,20450711.670246184,8.161412855585782
2008-6,0.6856415265575142,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,0.3606049606308885,223.82991338532003,29.332,22789758.19531824,1305602.28215036,9.981826626137387,20446231.48152072,8.163958715676682
2008-7,0.6858067062128825,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,0.3616731447928357,224.4282447442598,32.64,22797224.70627162,1305825.0391092163,9.979055483438769,20441751.29279525,8.166504575767581
