, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),São Paulo - Consumo de Cimento (t),São Paulo - Produção de Cimento (t),São Paulo - value,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - IDH
2009-8,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9676854539357764,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,1183.089,701.9026663231456,0.3150966815309107,1113451053.3634512,48799932.68412729,24.144496342075573,996933353.397783,8.07964219385216,0.8195310627064021
2009-9,0.4517057294318006,-9303.102943424732,2.248138981864224,0.724499229322103,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,1154.859,706.3243616656147,0.3144156752778077,1115562754.1123338,48809362.89780571,24.144917124346133,997251025.6038014,8.076687221997686,0.8195855062616886
2009-10,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7633071541231229,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,1229.848,711.3283896531856,0.3153877978275565,1117674454.8612163,48818793.11148413,24.14533790661669,997568697.8098196,8.073732250143212,0.8196399498169751
2009-11,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7775651006383951,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,1177.581,714.9030180410289,0.3161896950317995,1119786155.6100988,48828223.32516255,24.145758688887245,997886370.015838,8.07077727828874,0.8196943933722617
2009-12,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6588931475137494,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,979.775,717.8181933237239,0.3178224232376842,1121897856.3589814,48837653.53884097,24.146179471157804,998204042.2218562,8.067822306434264,0.8197488369275483
2010-1,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.8031841697782718,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,1053.508,719.1704737641476,0.3193311108055485,1124009557.107864,48847083.75251939,24.14660025342836,998521714.4278746,8.064867334579791,0.8198032804828348
2010-2,0.4638866746250542,-9576.958631035535,2.030863470139216,0.5926900446632651,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,1066.271,723.5569506936585,0.3202145864503247,1125895164.8972523,48822060.32219259,24.145574605316444,998708370.9486028,8.06389293632563,0.8198483049039959
2010-3,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,1316.193,729.1484757819868,0.3215418396371693,1127780772.6866405,48797036.89186578,24.144548957204524,998895027.4693308,8.062918538071468,0.8198933293251569
2010-4,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,1183.106,730.3575429753785,0.3230885373501387,1129666380.476029,48772013.46153898,24.143523309092608,999081683.9900593,8.061944139817307,0.8199383537463181
2010-5,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,1271.088,734.5117551377548,0.324471220677768,1131551988.265417,48746990.03121217,24.14249766098069,999268340.5107874,8.060969741563143,0.8199833781674791
2010-6,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7475516797723416,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,1233.481,734.5934683355364,0.3258112194483339,1133437596.0548055,48721966.60088537,24.14147201286877,999454997.0315156,8.059995343308982,0.8200284025886402
2010-7,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6585535280859806,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,1225.127,737.6599927911777,0.3269772045222993,1135323203.844194,48696943.17055857,24.14044636475685,999641653.5522436,8.05902094505482,0.8200734270098013
2010-8,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8571799086828237,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,1345.003,742.2475806535585,0.3280483940500904,1137208811.6335824,48671919.74023177,24.13942071664494,999828310.072972,8.058046546800659,0.8201184514309624
